source,bracket,control,class_code,class_name,precision,recall,f1,iou,support,cells_present,low_support,OA,macro_F1,mean_IoU,kappa,n_cells,total_pixels
embedding_v2,2017_2019,False,1,harvest,0.26948,0.05975,0.09781,0.05142,28653,17,False,0.6507,0.39385,0.30645,0.5415,36,4086351
embedding_v2,2017_2019,False,2,development,0.25105,0.18823,0.21515,0.12054,5063,13,False,0.6507,0.39385,0.30645,0.5415,36,4086351
embedding_v2,2017_2019,False,3,forest,0.86866,0.73887,0.79853,0.66462,1863175,35,False,0.6507,0.39385,0.30645,0.5415,36,4086351
embedding_v2,2017_2019,False,4,urban,0.3562,0.8532,0.50258,0.33563,155479,35,False,0.6507,0.39385,0.30645,0.5415,36,4086351
embedding_v2,2017_2019,False,5,water,0.93501,0.94766,0.94129,0.8891,375577,30,False,0.6507,0.39385,0.30645,0.5415,36,4086351
embedding_v2,2017_2019,False,6,ag,0.80774,0.74609,0.77569,0.63357,651631,21,False,0.6507,0.39385,0.30645,0.5415,36,4086351
embedding_v2,2017_2019,False,7,grass_shrub,0.26551,0.13052,0.17501,0.09589,443826,31,False,0.6507,0.39385,0.30645,0.5415,36,4086351
embedding_v2,2017_2019,False,8,wetland,0.40068,0.45316,0.42531,0.27009,543037,31,False,0.6507,0.39385,0.30645,0.5415,36,4086351
embedding_v2,2017_2019,False,9,beaver,0.00306,0.62947,0.00608,0.00305,1425,7,False,0.6507,0.39385,0.30645,0.5415,36,4086351
embedding_v2,2017_2019,False,10,insect_disease,0.0015,0.00087,0.0011,0.00055,18485,7,False,0.6507,0.39385,0.30645,0.5415,36,4086351
embedding_v3,2017_2019,False,1,harvest,0.31168,0.02747,0.05048,0.0259,28653,17,False,0.58729,0.36683,0.28667,0.48152,36,4086351
embedding_v3,2017_2019,False,2,development,0.01425,0.09402,0.02474,0.01253,5063,13,False,0.58729,0.36683,0.28667,0.48152,36,4086351
embedding_v3,2017_2019,False,3,forest,0.88774,0.62309,0.73224,0.57758,1863175,35,False,0.58729,0.36683,0.28667,0.48152,36,4086351
embedding_v3,2017_2019,False,4,urban,0.40928,0.81073,0.54396,0.37358,155479,35,False,0.58729,0.36683,0.28667,0.48152,36,4086351
embedding_v3,2017_2019,False,5,water,0.92626,0.95159,0.93875,0.88458,375577,30,False,0.58729,0.36683,0.28667,0.48152,36,4086351
embedding_v3,2017_2019,False,6,ag,0.8152,0.74813,0.78023,0.63965,651631,21,False,0.58729,0.36683,0.28667,0.48152,36,4086351
embedding_v3,2017_2019,False,7,grass_shrub,0.26934,0.22517,0.24528,0.13979,443826,31,False,0.58729,0.36683,0.28667,0.48152,36,4086351
embedding_v3,2017_2019,False,8,wetland,0.4064,0.30524,0.34863,0.21112,543037,31,False,0.58729,0.36683,0.28667,0.48152,36,4086351
embedding_v3,2017_2019,False,9,beaver,0.00152,0.71228,0.00303,0.00152,1425,7,False,0.58729,0.36683,0.28667,0.48152,36,4086351
embedding_v3,2017_2019,False,10,insect_disease,0.00287,0.0006,0.00099,0.00049,18485,7,False,0.58729,0.36683,0.28667,0.48152,36,4086351
embedding_v4,2017_2019,False,1,harvest,0.09733,0.1218,0.1082,0.05719,28653,17,False,0.08391,0.07004,0.04091,0.01075,36,4086351
embedding_v4,2017_2019,False,2,development,0.03647,0.10014,0.05347,0.02747,5063,13,False,0.08391,0.07004,0.04091,0.01075,36,4086351
embedding_v4,2017_2019,False,3,forest,0.04111,0.00447,0.00806,0.00405,1863175,35,False,0.08391,0.07004,0.04091,0.01075,36,4086351
embedding_v4,2017_2019,False,4,urban,0.02389,0.41801,0.0452,0.02312,155479,35,False,0.08391,0.07004,0.04091,0.01075,36,4086351
embedding_v4,2017_2019,False,5,water,0.00695,0.00114,0.00196,0.00098,375577,30,False,0.08391,0.07004,0.04091,0.01075,36,4086351
embedding_v4,2017_2019,False,6,ag,0.44384,0.38823,0.41418,0.26118,651631,21,False,0.08391,0.07004,0.04091,0.01075,36,4086351
embedding_v4,2017_2019,False,7,grass_shrub,0.20105,0.00939,0.01795,0.00906,443826,31,False,0.08391,0.07004,0.04091,0.01075,36,4086351
embedding_v4,2017_2019,False,8,wetland,0.18492,0.01407,0.02615,0.01325,543037,31,False,0.08391,0.07004,0.04091,0.01075,36,4086351
embedding_v4,2017_2019,False,9,beaver,0.01336,0.14526,0.02447,0.01239,1425,7,False,0.08391,0.07004,0.04091,0.01075,36,4086351
embedding_v4,2017_2019,False,10,insect_disease,0.0004,0.00871,0.00076,0.00038,18485,7,False,0.08391,0.07004,0.04091,0.01075,36,4086351
embedding_v5,2017_2019,False,1,harvest,0.00927,0.003,0.00454,0.00227,28653,17,False,0.5914,0.36009,0.28209,0.48333,36,4086351
embedding_v5,2017_2019,False,2,development,0.00823,0.10606,0.01528,0.0077,5063,13,False,0.5914,0.36009,0.28209,0.48333,36,4086351
embedding_v5,2017_2019,False,3,forest,0.87411,0.62801,0.7309,0.57592,1863175,35,False,0.5914,0.36009,0.28209,0.48333,36,4086351
embedding_v5,2017_2019,False,4,urban,0.38309,0.83531,0.52528,0.35619,155479,35,False,0.5914,0.36009,0.28209,0.48333,36,4086351
embedding_v5,2017_2019,False,5,water,0.92786,0.94626,0.93697,0.88142,375577,30,False,0.5914,0.36009,0.28209,0.48333,36,4086351
embedding_v5,2017_2019,False,6,ag,0.82135,0.73313,0.77473,0.6323,651631,21,False,0.5914,0.36009,0.28209,0.48333,36,4086351
embedding_v5,2017_2019,False,7,grass_shrub,0.22905,0.24261,0.23564,0.13355,443826,31,False,0.5914,0.36009,0.28209,0.48333,36,4086351
embedding_v5,2017_2019,False,8,wetland,0.44482,0.32114,0.37299,0.22925,543037,31,False,0.5914,0.36009,0.28209,0.48333,36,4086351
embedding_v5,2017_2019,False,9,beaver,0.00172,0.60982,0.00344,0.00172,1425,7,False,0.5914,0.36009,0.28209,0.48333,36,4086351
embedding_v5,2017_2019,False,10,insect_disease,0.00349,0.00065,0.00109,0.00055,18485,7,False,0.5914,0.36009,0.28209,0.48333,36,4086351
embedding_v6,2017_2019,False,1,harvest,0.0071,0.09217,0.01319,0.00664,28653,17,False,0.16488,0.10577,0.05895,0.06097,36,4086351
embedding_v6,2017_2019,False,2,development,0.00537,0.2935,0.01055,0.0053,5063,13,False,0.16488,0.10577,0.05895,0.06097,36,4086351
embedding_v6,2017_2019,False,3,forest,0.65392,0.16252,0.26034,0.14965,1863175,35,False,0.16488,0.10577,0.05895,0.06097,36,4086351
embedding_v6,2017_2019,False,4,urban,0.02894,0.08548,0.04324,0.0221,155479,35,False,0.16488,0.10577,0.05895,0.06097,36,4086351
embedding_v6,2017_2019,False,5,water,0.14743,0.20081,0.17003,0.09291,375577,30,False,0.16488,0.10577,0.05895,0.06097,36,4086351
embedding_v6,2017_2019,False,6,ag,0.35991,0.22527,0.2771,0.16084,651631,21,False,0.16488,0.10577,0.05895,0.06097,36,4086351
embedding_v6,2017_2019,False,7,grass_shrub,0.13846,0.14481,0.14156,0.07617,443826,31,False,0.16488,0.10577,0.05895,0.06097,36,4086351
embedding_v6,2017_2019,False,8,wetland,0.15599,0.12181,0.1368,0.07342,543037,31,False,0.16488,0.10577,0.05895,0.06097,36,4086351
embedding_v6,2017_2019,False,9,beaver,0.00053,0.12421,0.00105,0.00053,1425,7,False,0.16488,0.10577,0.05895,0.06097,36,4086351
embedding_v6,2017_2019,False,10,insect_disease,0.00201,0.04052,0.00382,0.00191,18485,7,False,0.16488,0.10577,0.05895,0.06097,36,4086351
embedding_v2,2018_2020,True,1,harvest,0.5504,0.13898,0.22192,0.12481,74017,18,False,0.71736,0.38968,0.3086,0.58854,36,4084676
embedding_v2,2018_2020,True,2,development,0.00908,0.1199,0.01688,0.00851,1643,9,False,0.71736,0.38968,0.3086,0.58854,36,4084676
embedding_v2,2018_2020,True,3,forest,0.85444,0.83004,0.84206,0.72721,2074545,36,False,0.71736,0.38968,0.3086,0.58854,36,4084676
embedding_v2,2018_2020,True,4,urban,0.32151,0.62762,0.4252,0.27001,106209,36,False,0.71736,0.38968,0.3086,0.58854,36,4084676
embedding_v2,2018_2020,True,5,water,0.93879,0.93647,0.93763,0.88258,229008,28,False,0.71736,0.38968,0.3086,0.58854,36,4084676
embedding_v2,2018_2020,True,6,ag,0.87314,0.79283,0.83105,0.71094,971111,21,False,0.71736,0.38968,0.3086,0.58854,36,4084676
embedding_v2,2018_2020,True,7,grass_shrub,0.30058,0.28125,0.2906,0.17,252292,31,False,0.71736,0.38968,0.3086,0.58854,36,4084676
embedding_v2,2018_2020,True,8,wetland,0.5444,0.20476,0.29759,0.1748,353361,23,False,0.71736,0.38968,0.3086,0.58854,36,4084676
