cell_id,crs,x_scale,x_shear,x_trans,y_shear,y_scale,y_trans,width,height,file
07870,EPSG:5070,10.0,0.0,202680.0,0.0,-10.0,2381590.0,337,337,rf_class_reviewer_bekka_grid_07870_sample_131_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
07921,EPSG:5070,10.0,0.0,212760.0,0.0,-10.0,2831830.0,337,338,rf_class_reviewer_bekka_grid_07921_sample_448_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
08021,EPSG:5070,10.0,0.0,212760.0,0.0,-10.0,2764620.0,337,337,rf_class_reviewer_bekka_grid_08021_sample_180_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
08063,EPSG:5070,10.0,0.0,212760.0,0.0,-10.0,2734390.0,337,337,rf_class_reviewer_bekka_grid_08063_sample_506_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
08200,EPSG:5070,10.0,0.0,209400.0,0.0,-10.0,2643660.0,337,337,rf_class_reviewer_ash_grid_08200_sample_268_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
08321,EPSG:5070,10.0,0.0,212760.0,0.0,-10.0,2563030.0,337,337,rf_class_reviewer_bekka_grid_08321_sample_120_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
08382,EPSG:5070,10.0,0.0,209400.0,0.0,-10.0,2519350.0,337,337,rf_class_reviewer_bekka_grid_08382_sample_373_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
09011,EPSG:5070,10.0,0.0,219480.0,0.0,-10.0,2583180.0,337,337,rf_class_reviewer_bekka_grid_09011_sample_360_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
09482,EPSG:5070,10.0,0.0,222840.0,0.0,-10.0,2747830.0,337,337,rf_class_reviewer_bekka_grid_09482_sample_135_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
09520,EPSG:5070,10.0,0.0,222840.0,0.0,-10.0,2724310.0,337,337,rf_class_reviewer_bekka_grid_09520_sample_103_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
09883,EPSG:5070,10.0,0.0,226200.0,0.0,-10.0,2479020.0,337,337,rf_class_reviewer_bekka_grid_09883_sample_521_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
09920,EPSG:5070,10.0,0.0,222840.0,0.0,-10.0,2455510.0,337,337,rf_class_reviewer_bekka_grid_09920_sample_420_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
10200,EPSG:5070,10.0,0.0,229560.0,0.0,-10.0,2751190.0,337,337,rf_class_reviewer_bekka_grid_10200_sample_491_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
10333,EPSG:5070,10.0,0.0,232920.0,0.0,-10.0,2660470.0,337,338,rf_class_reviewer_bekka_grid_10333_sample_41_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
10542,EPSG:5070,10.0,0.0,229560.0,0.0,-10.0,2519350.0,337,337,rf_class_reviewer_bekka_grid_10542_sample_416_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
10662,EPSG:5070,10.0,0.0,229560.0,0.0,-10.0,2438710.0,337,337,rf_class_reviewer_bekka_grid_10662_sample_326_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
10960,EPSG:5070,10.0,0.0,236280.0,0.0,-10.0,2724310.0,337,337,rf_class_reviewer_bekka_grid_10960_sample_446_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
11000,EPSG:5070,10.0,0.0,236280.0,0.0,-10.0,2697420.0,337,336,rf_class_reviewer_bekka_grid_11000_sample_401_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
11160,EPSG:5070,10.0,0.0,236280.0,0.0,-10.0,2589900.0,337,337,rf_class_reviewer_bekka_grid_11160_sample_251_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
11442,EPSG:5070,10.0,0.0,236280.0,0.0,-10.0,2398390.0,337,337,rf_class_reviewer_bekka_grid_11442_sample_405_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
11510,EPSG:5070,10.0,0.0,243000.0,0.0,-10.0,2831830.0,337,338,rf_class_reviewer_mina_grid_11510_sample_221_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
11521,EPSG:5070,10.0,0.0,246360.0,0.0,-10.0,2825100.0,337,337,rf_class_reviewer_bekka_grid_11521_sample_371_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
11702,EPSG:5070,10.0,0.0,243000.0,0.0,-10.0,2700780.0,337,337,rf_class_reviewer_bekka_grid_11702_sample_296_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
11950,EPSG:5070,10.0,0.0,243000.0,0.0,-10.0,2536140.0,337,337,rf_class_reviewer_mina_grid_11950_sample_116_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
11992,EPSG:5070,10.0,0.0,243000.0,0.0,-10.0,2505910.0,337,337,rf_class_reviewer_bekka_grid_11992_sample_418_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
12123,EPSG:5070,10.0,0.0,246360.0,0.0,-10.0,2418540.0,337,337,rf_class_reviewer_bekka_grid_12123_sample_536_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
12522,EPSG:5070,10.0,0.0,249720.0,0.0,-10.0,2626870.0,337,337,rf_class_reviewer_bekka_grid_12522_sample_86_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
12532,EPSG:5070,10.0,0.0,249720.0,0.0,-10.0,2620150.0,337,337,rf_class_reviewer_bekka_grid_12532_sample_390_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
12650,EPSG:5070,10.0,0.0,249720.0,0.0,-10.0,2542870.0,337,338,rf_class_reviewer_bekka_grid_12650_sample_538_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
