version,W,cls,n_retained,n_dropped,frac_dropped,rmse,mae,bias,corr
v5,5,Beaver,190878,499965,0.7237,0.6501,0.549,0.547,-0.0416
v5,5,Insect/Disease,40987,649856,0.9407,0.5977,0.4689,0.3804,-0.3604
v5,7,Harvest,47725,306928,0.8654,0.4522,0.3179,0.1731,-0.2018
v5,7,Development,22878,331775,0.9355,0.3471,0.2295,0.2089,-0.1019
v5,7,Forest,265541,89112,0.2513,0.4848,0.3415,-0.2485,0.4062
v5,7,Urban,67207,287446,0.8105,0.2933,0.2093,0.1223,0.59
v5,7,Water,45881,308772,0.8706,0.1822,0.0832,0.0038,0.9091
v5,7,Agriculture,99997,254656,0.718,0.306,0.1967,-0.0437,0.7283
v5,7,Grass/Shrub,147083,207570,0.5853,0.4055,0.2902,-0.0148,0.0744
v5,7,Wetland,135191,219462,0.6188,0.385,0.2687,-0.0775,0.2406
v5,7,Beaver,113333,241320,0.6804,0.5846,0.4743,0.4728,-0.0292
v5,7,Insect/Disease,25913,328740,0.9269,0.5231,0.3803,0.3087,-0.297
v5,9,Harvest,34306,176458,0.8372,0.3972,0.2614,0.1423,-0.1545
v5,9,Development,17142,193622,0.9187,0.2953,0.1818,0.1658,-0.0802
v5,9,Forest,164556,46208,0.2192,0.4615,0.3228,-0.2382,0.4444
v5,9,Urban,47646,163118,0.7739,0.2523,0.1726,0.1026,0.6383
v5,9,Water,30533,180231,0.8551,0.161,0.0735,0.0034,0.933
v5,9,Agriculture,64097,146667,0.6959,0.2763,0.1769,-0.0406,0.7722
v5,9,Grass/Shrub,100153,110611,0.5248,0.3617,0.2489,-0.0131,0.1239
v5,9,Wetland,91866,118898,0.5641,0.3436,0.2298,-0.0677,0.2906
v5,9,Beaver,74858,135906,0.6448,0.5401,0.4267,0.4255,-0.0224
v5,9,Insect/Disease,18038,192726,0.9144,0.4725,0.3244,0.2638,-0.2583
v6,3,Harvest,862612,1067263,0.553,0.2293,0.1846,0.1421,-0.1496
v6,3,Development,485231,1444644,0.7486,0.2831,0.219,0.2145,-0.0232
v6,3,Forest,1522282,407593,0.2112,0.6361,0.5599,-0.4534,0.0404
v6,3,Urban,1363029,566846,0.2937,0.2745,0.2294,0.1604,-0.1853
v6,3,Water,1309960,619915,0.3212,0.4029,0.3352,0.1509,-0.117
v6,3,Agriculture,1075607,854268,0.4427,0.4395,0.3123,-0.113,0.1623
v6,3,Grass/Shrub,1046612,883263,0.4577,0.3499,0.2607,-0.0124,-0.2152
v6,3,Wetland,1090437,839438,0.435,0.3726,0.2758,-0.0333,-0.2616
v6,3,Beaver,655850,1274025,0.6602,0.1907,0.1686,0.1663,-0.043
v6,3,Insect/Disease,610326,1319549,0.6837,0.2261,0.1937,0.1784,-0.1722
v6,5,Harvest,492006,198837,0.2878,0.1577,0.1148,0.0892,-0.0389
v6,5,Development,287356,403487,0.5841,0.196,0.1323,0.1297,0.0061
v6,5,Forest,602922,87921,0.1273,0.5812,0.4939,-0.4096,0.249
v6,5,Urban,624911,65932,0.0954,0.2127,0.1731,0.1252,-0.1026
v6,5,Water,567546,123297,0.1785,0.3464,0.2747,0.1247,-0.0089
v6,5,Agriculture,572036,118807,0.172,0.34,0.2049,-0.0761,0.338
v6,5,Grass/Shrub,522445,168398,0.2438,0.2644,0.1753,-0.0089,0.0054
v6,5,Wetland,540644,150199,0.2174,0.2879,0.1889,-0.0241,-0.0547
v6,5,Beaver,382051,308792,0.447,0.1236,0.1035,0.1022,-0.0091
v6,5,Insect/Disease,341071,349772,0.5063,0.1552,0.1234,0.1143,-0.1068
v6,7,Harvest,293094,61559,0.1736,0.1375,0.0983,0.0769,-0.0106
v6,7,Development,183836,170817,0.4816,0.1651,0.106,0.1041,0.0161
v6,7,Forest,325041,29612,0.0835,0.5542,0.463,-0.39,0.3459
v6,7,Urban,338218,16435,0.0463,0.1954,0.1601,0.1187,-0.0919
v6,7,Water,317999,36654,0.1034,0.324,0.2499,0.1142,0.0347
v6,7,Agriculture,334066,20587,0.058,0.3081,0.1766,-0.0669,0.3892
v6,7,Grass/Shrub,302419,52234,0.1473,0.2333,0.1487,-0.0079,0.0857
