source,cell_id,bracket,macro_f1,n_classes_included,in_common_set,f1_stable,f1_harvest,f1_development,f1_insectdisease,f1_beaver
v6,03693,2019_2021,0.14027,5,True,0.68968,0.00702,0.0,0.0,0.00464
spec_all,03693,2019_2021,0.15642,5,True,0.6152,0.16594,0.0,0.0,0.00094
v2,03900,2019_2021,0.24069,4,True,0.96275,0.0,,0.0,0.0
v3,03900,2019_2021,0.23461,4,True,0.93845,0.0,,0.0,0.0
v4,03900,2019_2021,0.19399,5,True,0.96766,0.0,0.0,0.0023,0.0
v5,03900,2019_2021,0.2221,4,True,0.88838,0.0,,0.0,0.0
v6,03900,2019_2021,0.14783,5,True,0.71957,0.00371,0.0,0.01586,0.0
spec_all,03900,2019_2021,0.18023,5,True,0.86188,0.0,0.0,0.03926,0.0
v2,04201,2017_2019,0.34875,3,True,0.99656,0.02681,0.02288,,
v3,04201,2017_2019,0.32754,3,True,0.97637,0.0,0.00626,,
v4,04201,2017_2019,0.19855,5,True,0.94759,0.04517,0.0,0.0,0.0
v5,04201,2017_2019,0.32402,3,True,0.96742,0.0,0.00462,,
v6,04201,2017_2019,0.12525,5,True,0.62141,0.00393,0.00091,0.0,0.0
spec_all,04201,2017_2019,0.19701,5,True,0.95979,0.01626,0.00898,0.0,0.0
v2,04281,2021_2023,0.34377,3,True,0.9993,0.0,0.032,,
v3,04281,2021_2023,0.33201,3,True,0.99602,0.0,0.0,,
v4,04281,2021_2023,0.20316,5,True,0.99464,0.0,0.02116,0.0,0.0
v5,04281,2021_2023,0.33086,3,True,0.99258,0.0,0.0,,
v6,04281,2021_2023,0.16073,5,True,0.80299,0.0,0.00065,0.0,0.0
spec_all,04281,2021_2023,0.15189,5,True,0.75892,0.0,0.00051,0.0,0.0
v2,04363,2017_2019,0.17812,5,True,0.85088,0.03971,0.0,0.0,0.0
v3,04363,2017_2019,0.26689,3,True,0.79951,0.00116,,,0.0
v4,04363,2017_2019,0.19862,5,True,0.9931,0.0,0.0,0.0,0.0
v5,04363,2017_2019,0.19204,4,True,0.76353,0.00462,,0.0,0.0
v6,04363,2017_2019,0.18457,5,True,0.89653,0.02631,0.0,0.0,0.0
spec_all,04363,2017_2019,0.15143,5,True,0.54533,0.21181,0.0,0.0,0.0
v2,04570,2021_2023,0.33225,3,True,0.99676,,0.0,,0.0
v3,04570,2021_2023,0.32986,3,True,0.98958,,0.0,,0.0
v4,04570,2021_2023,0.24781,4,True,0.99124,,0.0,0.0,0.0
v5,04570,2021_2023,0.32978,3,True,0.98934,,0.0,,0.0
v6,04570,2021_2023,0.14324,5,True,0.71186,0.0,0.00402,0.0,0.0003
spec_all,04570,2021_2023,0.15586,5,True,0.77509,0.0,0.00423,0.0,0.0
v2,04602,2017_2019,0.21496,5,True,0.98543,0.0,0.07194,0.0,0.01742
v3,04602,2017_2019,0.1948,5,True,0.96782,0.0,0.0,0.0,0.00616
