scheme,variant,scope,cls,metric,estimate,supportable,ratio_ci_lo,ratio_ci_hi,boot_ci_lo,boot_ci_hi,support,cells_present
10class,v6,class,Agriculture,precision,0.53057,True,0.40033,0.66081,0.39115,0.63915,976073,23.0
10class,v6,class,Agriculture,recall,0.27539,True,0.21997,0.3308,0.21624,0.32774,976073,23.0
10class,v6,class,Agriculture,F1,0.36258,True,,,0.2869,0.42382,976073,23.0
10class,v6,class,Agriculture,IoU,0.22143,True,0.1703,0.27257,0.16747,0.26889,976073,23.0
10class,v6,class,Grass/Shrub,precision,0.08243,True,0.05575,0.10911,0.05741,0.1106,248539,30.0
10class,v6,class,Grass/Shrub,recall,0.1263,True,0.11583,0.13676,0.11507,0.13668,248539,30.0
10class,v6,class,Grass/Shrub,F1,0.09976,True,,,0.0779,0.11855,248539,30.0
10class,v6,class,Grass/Shrub,IoU,0.0525,True,0.04107,0.06392,0.04053,0.06301,248539,30.0
10class,v6,class,Wetland,precision,0.11135,True,0.03632,0.18637,0.05051,0.19347,337376,22.0
10class,v6,class,Wetland,recall,0.12191,True,0.1011,0.14272,0.09471,0.13797,337376,22.0
10class,v6,class,Wetland,F1,0.11639,True,,,0.06619,0.15904,337376,22.0
10class,v6,class,Wetland,IoU,0.06179,True,0.03437,0.08921,0.03423,0.08639,337376,22.0
10class,v6,class,Beaver,precision,0.00098,True,-0.00015,0.0021,0.00013,0.00227,1919,5.0
10class,v6,class,Beaver,recall,0.13966,True,0.12406,0.15525,0.11691,0.17507,1919,5.0
10class,v6,class,Beaver,F1,0.00194,True,,,0.00029,0.00447,1919,5.0
10class,v6,class,Beaver,IoU,0.00097,True,-0.00014,0.00208,0.00013,0.00224,1919,5.0
10class,v6,class,Insect/Disease,precision,0.00355,True,0.00038,0.00672,0.00082,0.0074,14157,8.0
10class,v6,class,Insect/Disease,recall,0.07339,True,0.04605,0.10073,0.05532,0.10752,14157,8.0
10class,v6,class,Insect/Disease,F1,0.00677,True,,,0.00163,0.01333,14157,8.0
10class,v6,class,Insect/Disease,IoU,0.0034,True,0.00052,0.00628,0.00082,0.00671,14157,8.0
5class,v2,overall,,OA,0.89427,True,0.85348,0.93505,0.85065,0.93256,4088457,
5class,v2,overall,,kappa,0.05851,True,,,0.02425,0.10886,4088457,
5class,v2,overall,,macro_F1,0.24283,True,,,0.21794,0.27873,4088457,
5class,v2,overall,,mean_IoU,0.20934,True,,,0.19181,0.23026,4088457,
5class,v2,overall,,baseline_OA,0.97922,True,,,0.96914,0.9883,4088457,
5class,v2,class,Stable,precision,0.98355,True,0.97488,0.99221,0.97468,0.99151,4003492,36.0
5class,v2,class,Stable,recall,0.91028,True,0.8688,0.95176,0.86498,0.94927,4003492,36.0
5class,v2,class,Stable,F1,0.94549,True,,,0.92076,0.96604,4003492,36.0
5class,v2,class,Stable,IoU,0.89662,True,0.85628,0.93697,0.85315,0.9343,4003492,36.0
5class,v2,class,Harvest,precision,0.53913,True,0.32952,0.74875,0.28058,0.7083,67244,18.0
5class,v2,class,Harvest,recall,0.15027,True,0.05151,0.24904,0.06485,0.26378,67244,18.0
5class,v2,class,Harvest,F1,0.23504,True,,,0.10916,0.36966,67244,18.0
5class,v2,class,Harvest,IoU,0.13317,True,0.04772,0.21862,0.05773,0.22674,67244,18.0
5class,v2,class,Development,precision,0.00907,True,-0.00056,0.01869,0.00231,0.02378,1645,10.0
5class,v2,class,Development,recall,0.11976,True,0.02216,0.21735,0.05109,0.4348,1645,10.0
5class,v2,class,Development,F1,0.01686,True,,,0.00438,0.03953,1645,10.0
5class,v2,class,Development,IoU,0.0085,True,-1e-05,0.01701,0.00219,0.02016,1645,10.0
5class,v2,class,Insect/Disease,precision,0.00591,True,-0.00317,0.01499,3e-05,0.01814,14157,8.0
5class,v2,class,Insect/Disease,recall,0.08229,True,-0.05502,0.2196,0.00035,0.35086,14157,8.0
5class,v2,class,Insect/Disease,F1,0.01103,True,,,9e-05,0.03236,14157,8.0
5class,v2,class,Insect/Disease,IoU,0.00554,True,-0.00288,0.01397,2e-05,0.01641,14157,8.0
5class,v2,class,Beaver,precision,0.00291,True,-0.00196,0.00779,2e-05,0.01214,1919,5.0
5class,v2,class,Beaver,recall,0.22095,True,0.09745,0.34445,0.00796,0.40309,1919,5.0
5class,v2,class,Beaver,F1,0.00575,True,,,5e-05,0.02323,1919,5.0
5class,v2,class,Beaver,IoU,0.00288,True,-0.00191,0.00767,2e-05,0.01174,1919,5.0
5class,v3,overall,,OA,0.85935,True,0.80307,0.91563,0.79788,0.9119,4088457,
5class,v3,overall,,kappa,0.02262,True,,,0.0046,0.05145,4088457,
5class,v3,overall,,macro_F1,0.21272,True,,,0.19679,0.28003,4088457,
5class,v3,overall,,mean_IoU,0.18678,True,,,0.17183,0.20096,4088457,
5class,v3,overall,,baseline_OA,0.97922,True,,,0.96914,0.9883,4088457,
5class,v3,class,Stable,precision,0.98098,True,0.97161,0.99034,0.97138,0.9896,4003492,36.0
5class,v3,class,Stable,recall,0.87533,True,0.81777,0.93289,0.81336,0.92883,4003492,36.0
5class,v3,class,Stable,F1,0.92515,True,,,0.8887,0.95452,4003492,36.0
5class,v3,class,Stable,IoU,0.86072,True,0.80457,0.91687,0.79969,0.913,4003492,36.0
5class,v3,class,Harvest,precision,0.14349,True,0.03277,0.25421,0.04426,0.27397,67244,18.0
5class,v3,class,Harvest,recall,0.10539,True,0.04101,0.16977,0.04139,0.17509,67244,18.0
5class,v3,class,Harvest,F1,0.12153,True,,,0.04241,0.19202,67244,18.0
5class,v3,class,Harvest,IoU,0.06469,True,0.02304,0.10635,0.02166,0.10621,67244,18.0
5class,v3,class,Development,precision,0.0002,True,-0.00021,0.00062,0.0,0.00157,1645,10.0
5class,v3,class,Development,recall,0.00365,True,-0.00321,0.0105,0.0,0.02291,1645,10.0
5class,v3,class,Development,F1,0.00039,True,,,4e-05,0.00267,1645,10.0
5class,v3,class,Development,IoU,0.00019,True,-0.00019,0.00058,0.0,0.00131,1645,10.0
5class,v3,class,Insect/Disease,precision,0.00464,True,-0.00194,0.01123,0.0,0.01379,14157,8.0
5class,v3,class,Insect/Disease,recall,0.10786,True,-0.05372,0.26944,9e-05,0.39218,14157,8.0
5class,v3,class,Insect/Disease,F1,0.0089,True,,,2e-05,0.02541,14157,8.0
5class,v3,class,Insect/Disease,IoU,0.00447,True,-0.00181,0.01076,0.0,0.01286,14157,8.0
5class,v3,class,Beaver,precision,0.00389,True,-0.00392,0.01169,0.0,0.01852,1919,5.0
5class,v3,class,Beaver,recall,0.21991,True,0.04141,0.3984,0.0,0.33409,1919,5.0
5class,v3,class,Beaver,F1,0.00764,True,,,9e-05,0.03556,1919,5.0
5class,v3,class,Beaver,IoU,0.00383,True,-0.00381,0.01147,0.0,0.01776,1919,5.0
5class,v4,overall,,OA,0.94441,True,0.93034,0.95849,0.92994,0.9568,4088457,
5class,v4,overall,,kappa,0.15705,True,,,0.07811,0.23616,4088457,
5class,v4,overall,,macro_F1,0.2476,True,,,0.22375,0.27958,4088457,
5class,v4,overall,,mean_IoU,0.21865,True,,,0.20405,0.23528,4088457,
5class,v4,overall,,baseline_OA,0.97922,True,,,0.96914,0.9883,4088457,
5class,v4,class,Stable,precision,0.98721,True,0.98034,0.99407,0.97978,0.99328,4003492,36.0
5class,v4,class,Stable,recall,0.96144,True,0.94845,0.97443,0.94679,0.97255,4003492,36.0
5class,v4,class,Stable,F1,0.97415,True,,,0.9667,0.98021,4003492,36.0
5class,v4,class,Stable,IoU,0.94961,True,0.93638,0.96283,0.93555,0.96119,4003492,36.0
5class,v4,class,Harvest,precision,0.28079,True,0.10397,0.45761,0.09236,0.4541,67244,18.0
5class,v4,class,Harvest,recall,0.15772,True,0.05526,0.26018,0.05878,0.26517,67244,18.0
5class,v4,class,Harvest,F1,0.20199,True,,,0.07578,0.31265,67244,18.0
5class,v4,class,Harvest,IoU,0.11234,True,0.03922,0.18546,0.03938,0.18529,67244,18.0
5class,v4,class,Development,precision,0.00681,True,0.00052,0.01311,0.00188,0.01444,1645,10.0
5class,v4,class,Development,recall,0.25714,True,0.13142,0.38287,0.16076,0.63321,1645,10.0
