version,W,ref_code,ref_class,map_code,map_class,count
v2,3,10,Insect/Disease,8,Wetland,180
v2,3,10,Insect/Disease,9,Beaver,904
v2,3,10,Insect/Disease,10,Insect/Disease,119
v2,5,1,Harvest,1,Harvest,544
v2,5,1,Harvest,2,Development,35
v2,5,1,Harvest,3,Forest,4631
v2,5,1,Harvest,4,Urban,206
v2,5,1,Harvest,5,Water,1
v2,5,1,Harvest,6,Agriculture,19
v2,5,1,Harvest,7,Grass/Shrub,521
v2,5,1,Harvest,8,Wetland,198
v2,5,1,Harvest,9,Beaver,644
v2,5,1,Harvest,10,Insect/Disease,358
v2,5,2,Development,1,Harvest,9
v2,5,2,Development,2,Development,30
v2,5,2,Development,3,Forest,50
v2,5,2,Development,4,Urban,129
v2,5,2,Development,6,Agriculture,100
v2,5,2,Development,7,Grass/Shrub,48
v2,5,2,Development,8,Wetland,35
v2,5,2,Development,9,Beaver,1
v2,5,3,Forest,1,Harvest,4657
v2,5,3,Forest,2,Development,448
v2,5,3,Forest,3,Forest,273189
v2,5,3,Forest,4,Urban,4693
v2,5,3,Forest,5,Water,848
v2,5,3,Forest,6,Agriculture,1805
v2,5,3,Forest,7,Grass/Shrub,29806
v2,5,3,Forest,8,Wetland,15744
v2,5,3,Forest,9,Beaver,29782
v2,5,3,Forest,10,Insect/Disease,11452
v2,5,4,Urban,1,Harvest,72
v2,5,4,Urban,2,Development,346
v2,5,4,Urban,3,Forest,784
v2,5,4,Urban,4,Urban,14474
v2,5,4,Urban,5,Water,75
v2,5,4,Urban,6,Agriculture,1030
v2,5,4,Urban,7,Grass/Shrub,308
v2,5,4,Urban,8,Wetland,543
v2,5,4,Urban,9,Beaver,63
v2,5,4,Urban,10,Insect/Disease,16
v2,5,5,Water,1,Harvest,1
v2,5,5,Water,2,Development,51
v2,5,5,Water,3,Forest,741
v2,5,5,Water,4,Urban,100
v2,5,5,Water,5,Water,53785
v2,5,5,Water,6,Agriculture,11
v2,5,5,Water,7,Grass/Shrub,180
v2,5,5,Water,8,Wetland,1373
v2,5,5,Water,9,Beaver,208
v2,5,5,Water,10,Insect/Disease,28
v2,5,6,Agriculture,1,Harvest,320
v2,5,6,Agriculture,2,Development,2089
v2,5,6,Agriculture,3,Forest,3794
v2,5,6,Agriculture,4,Urban,11057
v2,5,6,Agriculture,5,Water,94
v2,5,6,Agriculture,6,Agriculture,85411
v2,5,6,Agriculture,7,Grass/Shrub,6706
v2,5,6,Agriculture,8,Wetland,1724
v2,5,6,Agriculture,9,Beaver,128
v2,5,6,Agriculture,10,Insect/Disease,51
v2,5,7,Grass/Shrub,1,Harvest,920
v2,5,7,Grass/Shrub,2,Development,1381
v2,5,7,Grass/Shrub,3,Forest,7610
v2,5,7,Grass/Shrub,4,Urban,8217
v2,5,7,Grass/Shrub,5,Water,94
v2,5,7,Grass/Shrub,6,Agriculture,9847
v2,5,7,Grass/Shrub,7,Grass/Shrub,18550
v2,5,7,Grass/Shrub,8,Wetland,9144
v2,5,7,Grass/Shrub,9,Beaver,1823
v2,5,7,Grass/Shrub,10,Insect/Disease,824
v2,5,8,Wetland,1,Harvest,85
v2,5,8,Wetland,2,Development,275
v2,5,8,Wetland,3,Forest,11111
v2,5,8,Wetland,4,Urban,2245
v2,5,8,Wetland,5,Water,2823
v2,5,8,Wetland,6,Agriculture,1381
v2,5,8,Wetland,7,Grass/Shrub,11246
v2,5,8,Wetland,8,Wetland,24136
v2,5,8,Wetland,9,Beaver,9753
v2,5,8,Wetland,10,Insect/Disease,2515
v2,5,9,Beaver,1,Harvest,1
v2,5,9,Beaver,2,Development,1
v2,5,9,Beaver,3,Forest,13
v2,5,9,Beaver,4,Urban,5
v2,5,9,Beaver,5,Water,5
v2,5,9,Beaver,6,Agriculture,11
v2,5,9,Beaver,7,Grass/Shrub,31
v2,5,9,Beaver,8,Wetland,79
v2,5,9,Beaver,9,Beaver,78
v2,5,9,Beaver,10,Insect/Disease,8
v2,5,10,Insect/Disease,1,Harvest,198
v2,5,10,Insect/Disease,2,Development,1
v2,5,10,Insect/Disease,3,Forest,442
v2,5,10,Insect/Disease,4,Urban,9
v2,5,10,Insect/Disease,7,Grass/Shrub,47
v2,5,10,Insect/Disease,8,Wetland,58
v2,5,10,Insect/Disease,9,Beaver,297
v2,5,10,Insect/Disease,10,Insect/Disease,33
v2,7,1,Harvest,1,Harvest,271
v2,7,1,Harvest,2,Development,10
