run,version,overall_accuracy,macro_f1,mean_iou,kappa
32,v3,0.6027,0.3714,0.2894,0.4796
32,v4,0.5059,0.2444,0.1639,0.3185
32,v5,0.5608,0.3599,0.2781,0.4381
32,v6,0.1859,0.104,0.0584,0.0589
33,v2,0.658,0.3794,0.298,0.5318
33,v3,0.6079,0.3732,0.2913,0.4856
33,v4,0.5072,0.2423,0.1626,0.3195
33,v5,0.566,0.3618,0.2799,0.444
33,v6,0.1867,0.1033,0.058,0.0597
34,v2,0.6554,0.3769,0.2962,0.5278
34,v3,0.6051,0.3709,0.2895,0.4817
34,v4,0.5052,0.2412,0.162,0.3154
34,v5,0.5634,0.3594,0.2782,0.4405
34,v6,0.1865,0.1037,0.0583,0.0592
35,v2,0.6572,0.3795,0.2983,0.5309
35,v3,0.6069,0.3733,0.2916,0.4846
35,v4,0.5063,0.2423,0.1628,0.318
35,v5,0.5648,0.362,0.2802,0.4429
35,v6,0.1866,0.104,0.0585,0.0594
36,v2,0.6594,0.3802,0.2991,0.5338
36,v3,0.6082,0.3733,0.2917,0.4861
36,v4,0.5073,0.2437,0.1635,0.3193
36,v5,0.5663,0.3617,0.2802,0.4446
36,v6,0.1874,0.1042,0.0586,0.0604
37,v2,0.6556,0.3789,0.2974,0.5292
37,v3,0.6052,0.3721,0.2903,0.4827
37,v4,0.5042,0.2416,0.1621,0.3159
37,v5,0.5638,0.3613,0.2793,0.4418
37,v6,0.1864,0.1039,0.0584,0.0594
38,v2,0.6591,0.3822,0.3005,0.5333
38,v3,0.6076,0.3747,0.2929,0.4855
38,v4,0.5095,0.2462,0.1653,0.3223
38,v5,0.5653,0.3628,0.2811,0.4433
38,v6,0.1863,0.1039,0.0584,0.0591
39,v2,0.6552,0.3755,0.2952,0.5267
39,v3,0.6044,0.3688,0.2882,0.4799
39,v4,0.5063,0.2398,0.1612,0.3159
39,v5,0.5625,0.3574,0.2768,0.4386
39,v6,0.1866,0.1028,0.0578,0.0589
40,v2,0.6581,0.3803,0.2989,0.5305
40,v3,0.6068,0.3733,0.2915,0.483
40,v4,0.5094,0.244,0.164,0.3195
40,v5,0.5649,0.3618,0.2801,0.4415
40,v6,0.1867,0.1034,0.0581,0.0589
41,v2,0.6555,0.3781,0.2971,0.5291
41,v3,0.6052,0.3714,0.2901,0.4828
41,v4,0.504,0.2417,0.1621,0.3159
41,v5,0.5637,0.3604,0.2789,0.4417
41,v6,0.1864,0.1038,0.0583,0.0595
42,v2,0.6545,0.3785,0.2973,0.5289
42,v3,0.6045,0.3715,0.29,0.4828
42,v4,0.5025,0.2418,0.1621,0.316
42,v5,0.563,0.3606,0.279,0.4418
42,v6,0.1861,0.1041,0.0585,0.0595
43,v2,0.6571,0.3796,0.2982,0.5306
43,v3,0.6063,0.3729,0.291,0.4837
43,v4,0.5088,0.2442,0.1642,0.3213
43,v5,0.5643,0.3616,0.2797,0.4421
43,v6,0.1866,0.1039,0.0584,0.0594
44,v2,0.656,0.3801,0.2993,0.5293
44,v3,0.6064,0.3744,0.2929,0.484
44,v4,0.5054,0.2429,0.1631,0.3168
44,v5,0.5644,0.3629,0.2816,0.4424
44,v6,0.1861,0.104,0.0584,0.0589
45,v2,0.6566,0.381,0.2995,0.5303
45,v3,0.6055,0.3739,0.292,0.483
45,v4,0.5061,0.2443,0.1639,0.318
45,v5,0.5638,0.3627,0.2809,0.4417
45,v6,0.1861,0.1038,0.0583,0.059
46,v2,0.6568,0.3785,0.2974,0.5292
46,v3,0.6059,0.3722,0.2905,0.4823
46,v4,0.5092,0.2434,0.1636,0.32
46,v5,0.5638,0.3607,0.279,0.4406
46,v6,0.1871,0.1038,0.0583,0.0596
47,v2,0.6558,0.3762,0.2956,0.5276
47,v3,0.605,0.3697,0.2887,0.4808
47,v4,0.5086,0.2418,0.1624,0.3188
47,v5,0.5628,0.3579,0.277,0.439
47,v6,0.1864,0.1028,0.0578,0.0588
48,v2,0.6555,0.3774,0.2963,0.5273
48,v3,0.6051,0.3711,0.2896,0.4811
48,v4,0.5066,0.2414,0.1619,0.3167
