design,version,W,n,cls,census_corr,mean_corr,frac_undefined,mean_rmse,mean_bias
simple,v2,5,500,Beaver,0.0326,0.0329,0.26,0.2149,0.0682
strat,v2,5,500,Stable,0.0751,0.1376,0.0,0.534,0.2548
strat,v2,5,500,Harvest,0.0919,0.102,0.0,0.3862,-0.1203
strat,v2,5,500,Development,0.0353,0.2178,0.0,0.279,-0.0939
strat,v2,5,500,Insect/Disease,0.0182,0.0474,0.0,0.2817,-0.0708
strat,v2,5,500,Beaver,0.0326,0.2919,0.0,0.2984,0.0302
simple,v2,5,1000,Stable,0.0751,0.0705,0.0,0.2802,-0.0911
simple,v2,5,1000,Harvest,0.0919,0.0894,0.0,0.1174,-0.0015
simple,v2,5,1000,Development,0.0353,0.0465,0.0,0.0697,0.0074
simple,v2,5,1000,Insect/Disease,0.0182,0.0163,0.0,0.1308,0.0182
simple,v2,5,1000,Beaver,0.0326,0.031,0.07,0.2125,0.0671
strat,v2,5,1000,Stable,0.0751,0.1372,0.0,0.534,0.2559
strat,v2,5,1000,Harvest,0.0919,0.0933,0.0,0.3877,-0.1196
strat,v2,5,1000,Development,0.0353,0.2187,0.0,0.2796,-0.0947
strat,v2,5,1000,Insect/Disease,0.0182,0.0543,0.0,0.2791,-0.0707
strat,v2,5,1000,Beaver,0.0326,0.2811,0.0,0.2994,0.0291
simple,v2,5,2000,Stable,0.0751,0.086,0.0,0.2788,-0.0909
simple,v2,5,2000,Harvest,0.0919,0.1048,0.0,0.1175,-0.0015
simple,v2,5,2000,Development,0.0353,0.04,0.0,0.0691,0.0073
simple,v2,5,2000,Insect/Disease,0.0182,0.0173,0.0,0.1297,0.0178
simple,v2,5,2000,Beaver,0.0326,0.034,0.0,0.2131,0.0673
strat,v2,5,2000,Stable,0.0751,0.132,0.0,0.535,0.2563
strat,v2,5,2000,Harvest,0.0919,0.0931,0.0,0.387,-0.1196
strat,v2,5,2000,Development,0.0353,0.2162,0.0,0.2795,-0.0943
strat,v2,5,2000,Insect/Disease,0.0182,0.056,0.0,0.2791,-0.0713
strat,v2,5,2000,Beaver,0.0326,0.2879,0.0,0.2985,0.0288
simple,v2,5,5000,Stable,0.0751,0.0789,0.0,0.2806,-0.0915
simple,v2,5,5000,Harvest,0.0919,0.0933,0.0,0.1187,-0.0014
simple,v2,5,5000,Development,0.0353,0.0353,0.0,0.0695,0.0072
simple,v2,5,5000,Insect/Disease,0.0182,0.0195,0.0,0.1327,0.0185
simple,v2,5,5000,Beaver,0.0326,0.0313,0.0,0.2131,0.0673
strat,v2,5,5000,Stable,0.0751,0.1492,0.0,0.5341,0.2437
strat,v2,5,5000,Harvest,0.0919,0.0772,0.0,0.4317,-0.1506
strat,v2,5,5000,Development,0.0353,0.2118,0.0,0.2353,-0.0639
strat,v2,5,5000,Insect/Disease,0.0182,0.0521,0.0,0.3066,-0.0933
strat,v2,5,5000,Beaver,0.0326,0.2162,0.0,0.2869,0.064
simple,v2,7,20,Stable,0.0786,0.1411,0.25,0.2577,-0.0921
simple,v2,7,20,Harvest,0.0946,0.1942,0.7,0.0878,-0.0071
simple,v2,7,20,Development,0.0372,0.138,0.91,0.0335,0.0079
simple,v2,7,20,Insect/Disease,0.019,0.0914,0.84,0.0963,0.0219
simple,v2,7,20,Beaver,0.0359,-0.083,0.96,0.1824,0.0694
strat,v2,7,20,Stable,0.0786,0.1655,0.0,0.4854,0.2017
strat,v2,7,20,Harvest,0.0946,0.1624,0.14,0.3666,-0.1124
strat,v2,7,20,Development,0.0372,0.3071,0.22,0.2358,-0.0755
strat,v2,7,20,Insect/Disease,0.019,0.0245,0.32,0.2463,-0.0615
strat,v2,7,20,Beaver,0.0359,0.3688,0.0,0.2587,0.0476
simple,v2,7,50,Stable,0.0786,0.0917,0.04,0.2613,-0.0877
simple,v2,7,50,Harvest,0.0946,0.1202,0.3,0.0992,-0.0026
simple,v2,7,50,Development,0.0372,0.0799,0.78,0.0476,0.0076
simple,v2,7,50,Insect/Disease,0.019,0.0167,0.37,0.111,0.018
simple,v2,7,50,Beaver,0.0359,0.171,0.82,0.1903,0.0647
strat,v2,7,50,Stable,0.0786,0.1434,0.0,0.4897,0.2007
strat,v2,7,50,Harvest,0.0946,0.1285,0.01,0.3693,-0.1078
strat,v2,7,50,Development,0.0372,0.2002,0.03,0.2463,-0.0774
strat,v2,7,50,Insect/Disease,0.019,0.04,0.02,0.2576,-0.059
strat,v2,7,50,Beaver,0.0359,0.3038,0.0,0.2681,0.0435
simple,v2,7,100,Stable,0.0786,0.09,0.01,0.2627,-0.0921
simple,v2,7,100,Harvest,0.0946,0.1015,0.15,0.0951,-0.0015
simple,v2,7,100,Development,0.0372,0.0762,0.63,0.0544,0.0072
simple,v2,7,100,Insect/Disease,0.019,0.0427,0.16,0.1127,0.0177
simple,v2,7,100,Beaver,0.0359,0.0682,0.63,0.203,0.0687
strat,v2,7,100,Stable,0.0786,0.1262,0.0,0.4936,0.2069
strat,v2,7,100,Harvest,0.0946,0.1237,0.0,0.3636,-0.1122
strat,v2,7,100,Development,0.0372,0.2293,0.0,0.2465,-0.078
strat,v2,7,100,Insect/Disease,0.019,0.0587,0.0,0.253,-0.0602
strat,v2,7,100,Beaver,0.0359,0.2694,0.0,0.2759,0.0435
simple,v2,7,200,Stable,0.0786,0.0802,0.0,0.2677,-0.0912
simple,v2,7,200,Harvest,0.0946,0.1004,0.0,0.1072,-0.0024
simple,v2,7,200,Development,0.0372,0.0512,0.43,0.0594,0.0069
simple,v2,7,200,Insect/Disease,0.019,0.0317,0.02,0.1243,0.0186
simple,v2,7,200,Beaver,0.0359,0.0582,0.39,0.2019,0.068
strat,v2,7,200,Stable,0.0786,0.1333,0.0,0.4921,0.2092
strat,v2,7,200,Harvest,0.0946,0.1037,0.0,0.3692,-0.1127
strat,v2,7,200,Development,0.0372,0.2308,0.0,0.2459,-0.0783
strat,v2,7,200,Insect/Disease,0.019,0.0501,0.0,0.2488,-0.0601
strat,v2,7,200,Beaver,0.0359,0.2657,0.0,0.277,0.0419
simple,v2,7,500,Stable,0.0786,0.0815,0.0,0.2679,-0.0915
simple,v2,7,500,Harvest,0.0946,0.1119,0.0,0.111,-0.0016
simple,v2,7,500,Development,0.0372,0.0515,0.05,0.0635,0.0075
simple,v2,7,500,Insect/Disease,0.019,0.0237,0.0,0.1274,0.0188
simple,v2,7,500,Beaver,0.0359,0.0379,0.1,0.2012,0.0668
strat,v2,7,500,Stable,0.0786,0.1308,0.0,0.4944,0.2089
strat,v2,7,500,Harvest,0.0946,0.0935,0.0,0.3728,-0.1132
strat,v2,7,500,Development,0.0372,0.2262,0.0,0.2469,-0.0781
strat,v2,7,500,Insect/Disease,0.019,0.0359,0.0,0.2545,-0.0585
strat,v2,7,500,Beaver,0.0359,0.2835,0.0,0.274,0.0409
simple,v2,7,1000,Stable,0.0786,0.0873,0.0,0.2667,-0.0914
simple,v2,7,1000,Harvest,0.0946,0.1022,0.0,0.112,-0.0004
simple,v2,7,1000,Development,0.0372,0.0444,0.01,0.0632,0.0069
simple,v2,7,1000,Insect/Disease,0.019,0.0184,0.0,0.1255,0.0177
simple,v2,7,1000,Beaver,0.0359,0.0287,0.01,0.2028,0.0671
strat,v2,7,1000,Stable,0.0786,0.1349,0.0,0.4929,0.209
strat,v2,7,1000,Harvest,0.0946,0.0958,0.0,0.3722,-0.1121
strat,v2,7,1000,Development,0.0372,0.2356,0.0,0.2466,-0.0785
strat,v2,7,1000,Insect/Disease,0.019,0.0406,0.0,0.2524,-0.059
strat,v2,7,1000,Beaver,0.0359,0.288,0.0,0.2726,0.0406
simple,v2,7,2000,Stable,0.0786,0.08,0.0,0.2685,-0.0915
simple,v2,7,2000,Harvest,0.0946,0.1015,0.0,0.1138,-0.0013
simple,v2,7,2000,Development,0.0372,0.0552,0.0,0.0646,0.0071
simple,v2,7,2000,Insect/Disease,0.019,0.0178,0.0,0.128,0.0185
simple,v2,7,2000,Beaver,0.0359,0.0347,0.0,0.2022,0.067
strat,v2,7,2000,Stable,0.0786,0.1365,0.0,0.4975,0.2079
strat,v2,7,2000,Harvest,0.0946,0.0913,0.0,0.3969,-0.1298
strat,v2,7,2000,Development,0.0372,0.2303,0.0,0.23,-0.0666
strat,v2,7,2000,Insect/Disease,0.019,0.0466,0.0,0.2675,-0.0704
strat,v2,7,2000,Beaver,0.0359,0.2446,0.0,0.2653,0.0589
simple,v2,7,5000,Stable,0.0786,0.0765,0.0,0.2691,-0.0912
simple,v2,7,5000,Harvest,0.0946,0.0954,0.0,0.1146,-0.0012
simple,v2,7,5000,Development,0.0372,0.0405,0.0,0.0654,0.0071
simple,v2,7,5000,Insect/Disease,0.019,0.0202,0.0,0.1284,0.0184
simple,v2,7,5000,Beaver,0.0359,0.0315,0.0,0.2023,0.0669
strat,v2,7,5000,Stable,0.0786,0.1537,0.0,0.4983,0.1936
strat,v2,7,5000,Harvest,0.0946,0.0622,0.0,0.4388,-0.1596
strat,v2,7,5000,Development,0.0372,0.2141,0.0,0.1656,-0.0305
strat,v2,7,5000,Insect/Disease,0.019,0.0359,0.0,0.2913,-0.0882
strat,v2,7,5000,Beaver,0.0359,0.1671,0.0,0.2674,0.0847
simple,v2,9,20,Stable,0.081,0.0728,0.19,0.2596,-0.0952
simple,v2,9,20,Harvest,0.0948,0.2022,0.64,0.0798,-0.0059
simple,v2,9,20,Development,0.0385,0.1372,0.89,0.0437,0.0104
simple,v2,9,20,Insect/Disease,0.0184,0.0102,0.78,0.0777,0.0155
simple,v2,9,20,Beaver,0.0388,0.0769,0.91,0.1895,0.0752
strat,v2,9,20,Stable,0.081,0.1349,0.0,0.4638,0.1702
strat,v2,9,20,Harvest,0.0948,0.1674,0.14,0.3458,-0.1027
strat,v2,9,20,Development,0.0385,0.2487,0.2,0.217,-0.0644
strat,v2,9,20,Insect/Disease,0.0184,0.0691,0.19,0.2264,-0.0461
strat,v2,9,20,Beaver,0.0388,0.3375,0.0,0.253,0.0431
simple,v2,9,50,Stable,0.081,0.0982,0.0,0.2601,-0.093
simple,v2,9,50,Harvest,0.0948,0.1212,0.24,0.0973,-0.0012
simple,v2,9,50,Development,0.0385,0.1173,0.79,0.0419,0.0071
simple,v2,9,50,Insect/Disease,0.0184,0.0261,0.26,0.1077,0.0172
simple,v2,9,50,Beaver,0.0388,0.0384,0.62,0.1944,0.0699
strat,v2,9,50,Stable,0.081,0.125,0.0,0.469,0.1668
strat,v2,9,50,Harvest,0.0948,0.0941,0.0,0.3573,-0.0977
strat,v2,9,50,Development,0.0385,0.1992,0.04,0.2245,-0.0652
strat,v2,9,50,Insect/Disease,0.0184,0.0531,0.01,0.2288,-0.049
strat,v2,9,50,Beaver,0.0388,0.3067,0.0,0.2583,0.0451
simple,v2,9,100,Stable,0.081,0.093,0.01,0.2631,-0.0937
simple,v2,9,100,Harvest,0.0948,0.0809,0.09,0.1042,-0.0015
simple,v2,9,100,Development,0.0385,0.12,0.54,0.049,0.0069
simple,v2,9,100,Insect/Disease,0.0184,0.0432,0.14,0.1248,0.0203
simple,v2,9,100,Beaver,0.0388,0.0657,0.55,0.1933,0.068
strat,v2,9,100,Stable,0.081,0.1127,0.0,0.4739,0.1763
strat,v2,9,100,Harvest,0.0948,0.1038,0.0,0.3567,-0.111
strat,v2,9,100,Development,0.0385,0.1937,0.0,0.2284,-0.0655
strat,v2,9,100,Insect/Disease,0.0184,0.0585,0.0,0.2346,-0.0492
strat,v2,9,100,Beaver,0.0388,0.3076,0.0,0.2662,0.0494
simple,v2,9,200,Stable,0.081,0.0727,0.0,0.2615,-0.0912
