design,version,W,n,cls,metric,census,mean,sd,bias,frac_undefined
simple,v2,1,1000,Insect/Disease,recall,0.0713,0.0726,0.17939,0.00126,0.06
simple,v2,1,1000,Beaver,recall,0.3293,0.3763,0.4674,0.04708,0.69
simple,v2,1,1000,Stable,precision,0.9867,0.9875,0.00377,0.00078,0.0
simple,v2,1,1000,Harvest,precision,0.0888,0.1042,0.09939,0.01544,0.0
simple,v2,1,1000,Development,precision,0.0072,0.0054,0.02709,-0.00186,0.0
simple,v2,1,1000,Insect/Disease,precision,0.0113,0.0111,0.02345,-0.00016,0.0
simple,v2,1,1000,Beaver,precision,0.0019,0.0024,0.00684,0.00052,0.0
simple,v2,1,1000,Stable,f1,0.939,0.9391,0.00512,0.00011,0.0
simple,v2,1,1000,Harvest,f1,0.082,0.1455,0.06318,0.0635,0.35
simple,v2,1,1000,Development,f1,0.0134,0.2321,0.06186,0.21876,0.96
simple,v2,1,1000,Insect/Disease,f1,0.0195,0.0921,0.02602,0.07261,0.8
simple,v2,1,1000,Beaver,f1,0.0038,0.0365,0.01419,0.03271,0.87
strat,v2,1,1000,Stable,recall,0.8958,0.8955,0.02275,-0.0003,0.0
strat,v2,1,1000,Harvest,recall,0.0762,0.0757,0.01602,-0.00047,0.0
strat,v2,1,1000,Development,recall,0.0914,0.0894,0.02109,-0.00203,0.0
strat,v2,1,1000,Insect/Disease,recall,0.0713,0.0728,0.0173,0.00146,0.0
strat,v2,1,1000,Beaver,recall,0.3293,0.3322,0.03594,0.00289,0.0
strat,v2,1,1000,Stable,precision,0.9867,0.9868,0.00047,9e-05,0.0
strat,v2,1,1000,Harvest,precision,0.0888,0.173,0.2166,0.08423,0.0
strat,v2,1,1000,Development,precision,0.0072,0.0935,0.19435,0.08627,0.0
strat,v2,1,1000,Insect/Disease,precision,0.0113,0.0173,0.02727,0.00599,0.0
strat,v2,1,1000,Beaver,precision,0.0019,0.0021,0.00073,0.00017,0.0
strat,v2,1,1000,Stable,f1,0.939,0.9387,0.01271,-0.00027,0.0
strat,v2,1,1000,Harvest,f1,0.082,0.0852,0.0296,0.00321,0.0
strat,v2,1,1000,Development,f1,0.0134,0.044,0.05667,0.03067,0.0
strat,v2,1,1000,Insect/Disease,f1,0.0195,0.0244,0.01555,0.00493,0.0
strat,v2,1,1000,Beaver,f1,0.0038,0.0041,0.00143,0.00034,0.0
simple,v2,1,2000,Stable,recall,0.8958,0.8953,0.00652,-0.00043,0.0
simple,v2,1,2000,Harvest,recall,0.0762,0.0909,0.05731,0.01469,0.0
simple,v2,1,2000,Development,recall,0.0914,0.0689,0.22106,-0.02249,0.25
simple,v2,1,2000,Insect/Disease,recall,0.0713,0.0616,0.09932,-0.00978,0.0
simple,v2,1,2000,Beaver,recall,0.3293,0.3301,0.3965,0.0008,0.49
simple,v2,1,2000,Stable,precision,0.9867,0.9866,0.00269,-0.00013,0.0
simple,v2,1,2000,Harvest,precision,0.0888,0.105,0.06383,0.0162,0.0
simple,v2,1,2000,Development,precision,0.0072,0.0051,0.01811,-0.00208,0.0
simple,v2,1,2000,Insect/Disease,precision,0.0113,0.01,0.01554,-0.00125,0.0
simple,v2,1,2000,Beaver,precision,0.0019,0.0019,0.00357,1e-05,0.0
simple,v2,1,2000,Stable,f1,0.939,0.9387,0.00394,-0.00031,0.0
simple,v2,1,2000,Harvest,f1,0.082,0.1029,0.05358,0.02084,0.07
simple,v2,1,2000,Development,f1,0.0134,0.1147,0.03109,0.10135,0.92
simple,v2,1,2000,Insect/Disease,f1,0.0195,0.0483,0.01994,0.0288,0.65
simple,v2,1,2000,Beaver,f1,0.0038,0.0158,0.00375,0.01202,0.76
strat,v2,1,2000,Stable,recall,0.8958,0.8958,0.01465,2e-05,0.0
strat,v2,1,2000,Harvest,recall,0.0762,0.078,0.01413,0.00176,0.0
strat,v2,1,2000,Development,recall,0.0914,0.0913,0.01338,-0.00013,0.0
strat,v2,1,2000,Insect/Disease,recall,0.0713,0.0711,0.01298,-0.00022,0.0
strat,v2,1,2000,Beaver,recall,0.3293,0.3273,0.0213,-0.00194,0.0
strat,v2,1,2000,Stable,precision,0.9867,0.9867,0.00035,0.0,0.0
strat,v2,1,2000,Harvest,precision,0.0888,0.1215,0.10516,0.03275,0.0
strat,v2,1,2000,Development,precision,0.0072,0.0115,0.0247,0.00423,0.0
strat,v2,1,2000,Insect/Disease,precision,0.0113,0.0124,0.00497,0.00114,0.0
strat,v2,1,2000,Beaver,precision,0.0019,0.002,0.0004,6e-05,0.0
strat,v2,1,2000,Stable,f1,0.939,0.939,0.00816,-5e-05,0.0
strat,v2,1,2000,Harvest,f1,0.082,0.0878,0.02531,0.00582,0.0
strat,v2,1,2000,Development,f1,0.0134,0.0171,0.01436,0.00376,0.0
strat,v2,1,2000,Insect/Disease,f1,0.0195,0.0208,0.00701,0.00131,0.0
strat,v2,1,2000,Beaver,f1,0.0038,0.0039,0.00079,0.00012,0.0
simple,v2,1,5000,Stable,recall,0.8958,0.8954,0.00454,-0.00031,0.0
simple,v2,1,5000,Harvest,recall,0.0762,0.0766,0.03602,0.00036,0.0
simple,v2,1,5000,Development,recall,0.0914,0.0621,0.15753,-0.02925,0.03
simple,v2,1,5000,Insect/Disease,recall,0.0713,0.0845,0.05664,0.01317,0.0
simple,v2,1,5000,Beaver,recall,0.3293,0.3822,0.33927,0.05295,0.11
simple,v2,1,5000,Stable,precision,0.9867,0.9866,0.00185,-0.00012,0.0
simple,v2,1,5000,Harvest,precision,0.0888,0.0907,0.04185,0.00192,0.0
simple,v2,1,5000,Development,precision,0.0072,0.0049,0.01113,-0.00232,0.0
simple,v2,1,5000,Insect/Disease,precision,0.0113,0.0127,0.00845,0.00144,0.0
simple,v2,1,5000,Beaver,precision,0.0019,0.0023,0.00241,0.00036,0.0
simple,v2,1,5000,Stable,f1,0.939,0.9388,0.00252,-0.00023,0.0
simple,v2,1,5000,Harvest,f1,0.082,0.0831,0.03668,0.00104,0.01
simple,v2,1,5000,Development,f1,0.0134,0.0496,0.01611,0.03618,0.82
simple,v2,1,5000,Insect/Disease,f1,0.0195,0.0261,0.01154,0.00658,0.16
simple,v2,1,5000,Beaver,f1,0.0038,0.0079,0.00356,0.00411,0.43
strat,v2,1,5000,Stable,recall,0.8958,0.8966,0.00917,0.00088,0.0
strat,v2,1,5000,Harvest,recall,0.0762,0.0766,0.00898,0.00038,0.0
strat,v2,1,5000,Development,recall,0.0914,0.0916,0.00805,0.00026,0.0
strat,v2,1,5000,Insect/Disease,recall,0.0713,0.0702,0.00831,-0.00113,0.0
strat,v2,1,5000,Beaver,recall,0.3293,0.3288,0.01279,-0.00045,0.0
strat,v2,1,5000,Stable,precision,0.9867,0.9867,0.00024,2e-05,0.0
strat,v2,1,5000,Harvest,precision,0.0888,0.0977,0.0348,0.00886,0.0
strat,v2,1,5000,Development,precision,0.0072,0.0092,0.0076,0.00198,0.0
strat,v2,1,5000,Insect/Disease,precision,0.0113,0.0122,0.00326,0.0009,0.0
strat,v2,1,5000,Beaver,precision,0.0019,0.0019,0.00025,3e-05,0.0
strat,v2,1,5000,Stable,f1,0.939,0.9395,0.0051,0.00046,0.0
strat,v2,1,5000,Harvest,f1,0.082,0.0837,0.01453,0.00173,0.0
