version,W,n,oa_sd_10,oa_bias_10,mf1_sd_10,mf1_bias_10,oa_sd_5,oa_bias_5,mf1_sd_5,mf1_bias_5,deff_10,deff_5
v4,7,2000,0.00858,-0.00116,0.02034,0.0179,0.00426,0.00015,0.05316,0.05084,28.882,31.756
v4,7,5000,0.00527,-8e-05,0.00901,0.00198,0.00243,0.00033,0.01662,0.00632,27.245,25.921
v4,9,20,0.07537,-0.00266,0.08317,0.13391,0.03989,0.00366,0.15051,0.69129,36.803,46.113
v4,9,50,0.05571,0.00596,0.05836,0.13275,0.02691,-0.00132,0.19516,0.6373,50.267,52.491
v4,9,100,0.03971,-0.00042,0.04371,0.1183,0.01646,-0.0002,0.25201,0.47024,51.089,39.258
v4,9,200,0.02797,0.00517,0.04016,0.09331,0.01174,0.00168,0.22842,0.34628,50.677,39.951
v4,9,500,0.01771,0.00042,0.03454,0.05161,0.00775,-0.00096,0.11451,0.13983,50.808,43.578
v4,9,1000,0.01113,0.0002,0.02648,0.02741,0.00521,-0.00031,0.05925,0.06028,40.158,39.377
v4,9,2000,0.0078,-0.00028,0.01497,0.00736,0.00448,0.00017,0.02791,0.01878,39.459,58.202
v4,9,5000,0.00493,-0.00025,0.00479,0.00058,0.00223,0.00019,0.00766,0.00076,39.439,35.883
v5,1,20,0.11599,-0.01806,0.10629,0.37538,0.0843,-0.00136,0.05567,0.68148,1.098,0.795
v5,1,50,0.06939,-0.00516,0.0833,0.30351,0.05993,0.00254,0.07667,0.6676,0.983,1.004
v5,1,100,0.05396,-0.00126,0.06311,0.23861,0.03943,0.00614,0.10425,0.64761,1.188,0.869
v5,1,200,0.03563,-0.00536,0.04792,0.21373,0.03064,-0.00106,0.15613,0.60234,1.036,1.05
v5,1,500,0.022,0.00234,0.04322,0.19509,0.01639,0.00164,0.19362,0.52327,0.988,0.751
v5,1,1000,0.01659,0.00074,0.05551,0.16756,0.01202,-0.00107,0.19451,0.36705,1.123,0.808
v5,1,2000,0.01074,0.00076,0.05327,0.13328,0.00961,1e-05,0.1343,0.20653,0.942,1.032
v5,1,5000,0.00711,-0.0004,0.04418,0.08267,0.00661,-0.00069,0.07967,0.11503,1.031,1.221
v5,3,20,0.09189,-0.01357,0.10727,0.27579,0.09147,-0.01502,0.09573,0.65175,6.204,8.428
v5,3,50,0.06168,-0.00474,0.0708,0.22307,0.04935,-0.00343,0.13184,0.62973,6.987,6.132
v5,3,100,0.04035,0.00572,0.04998,0.20941,0.03551,-5e-05,0.16871,0.5855,5.979,6.351
v5,3,200,0.02748,-0.00782,0.04856,0.18557,0.02654,-0.00338,0.21536,0.48423,5.548,7.097
v5,3,500,0.01763,-0.00018,0.05152,0.13709,0.01943,0.00225,0.21062,0.30243,5.711,9.505
v5,3,1000,0.01215,-0.00208,0.05183,0.11565,0.01136,-0.00127,0.15193,0.17588,5.419,6.502
v5,3,2000,0.00939,-0.00077,0.04146,0.06902,0.00899,0.00017,0.07128,0.07758,6.473,8.134
v5,3,5000,0.00638,-0.00041,0.02637,0.02544,0.00476,-0.00017,0.03159,0.02733,7.473,5.694
v5,5,20,0.09645,-0.00038,0.10651,0.21985,0.08653,0.0006,0.13479,0.63463,18.99,20.945
v5,5,50,0.05777,-0.0033,0.06607,0.19304,0.05449,-0.00415,0.17938,0.57385,17.029,20.771
v5,5,100,0.03818,0.00089,0.05091,0.19449,0.03534,-0.00342,0.19252,0.54583,14.868,17.473
v5,5,200,0.0294,-0.00376,0.05966,0.15837,0.02785,-0.00143,0.21215,0.3627,17.637,21.697
v5,5,500,0.0186,0.00102,0.05719,0.1126,0.01505,-0.0003,0.14102,0.20565,17.658,15.835
v5,5,1000,0.01251,-0.00251,0.04734,0.07026,0.01239,-0.00108,0.06413,0.09645,15.974,21.466
v5,5,2000,0.00848,7e-05,0.0311,0.04368,0.00777,0.00029,0.04901,0.04447,14.671,16.869
