design,version,W,n,metric,census,mean,sd,bias,lo,hi
strat,v2,1,5000,C_oa,0.8718,0.8723,0.01047,0.00048,0.8546,0.8941
strat,v2,1,5000,A_oa_wtd,0.8718,0.8723,0.01047,0.00048,0.8546,0.8941
strat,v2,1,5000,A_macrof1_wtd,0.2182,0.2189,0.00523,0.00066,0.2101,0.2303
strat,v2,1,5000,C_frac_majority,,1.0,0.0,,,
simple,v2,3,20,A_oa,0.8718,0.8723,0.06496,0.0005,0.7494,0.9751
simple,v2,3,20,A_kappa,0.0436,0.0246,0.08353,-0.019,-0.0327,0.2893
simple,v2,3,20,A_macrof1,0.2183,0.9112,0.08885,0.69292,0.6048,0.9874
simple,v2,3,20,B_oa,0.8784,0.877,0.07157,-0.00139,0.75,1.0
simple,v2,3,20,C_oa,0.8781,0.8765,0.07193,-0.00157,0.75,1.0
simple,v2,3,20,A_oa_wtd,0.8718,0.8723,0.06496,0.0005,0.7494,0.9751
simple,v2,3,20,A_macrof1_wtd,0.2183,0.9112,0.08885,0.69292,0.6048,0.9874
simple,v2,3,20,C_frac_majority,,1.0,0.0,,,
strat,v2,3,20,A_oa,0.8718,0.4637,0.06249,-0.40812,0.3526,0.5889
strat,v2,3,20,A_kappa,0.0436,0.1576,0.08453,0.11409,-0.0054,0.3295
strat,v2,3,20,A_macrof1,0.2183,0.4301,0.10117,0.21183,0.2634,0.6415
strat,v2,3,20,B_oa,0.8784,0.8921,0.14392,0.01376,0.4939,0.9922
strat,v2,3,20,C_oa,0.8781,0.8921,0.14388,0.01399,0.4939,0.9921
strat,v2,3,20,A_oa_wtd,0.8718,0.8811,0.13789,0.00931,0.5336,0.9915
strat,v2,3,20,A_macrof1_wtd,0.2183,0.4471,0.1378,0.22886,0.2379,0.7739
strat,v2,3,20,C_frac_majority,,0.994,0.01781,,,
simple,v2,3,50,A_oa,0.8718,0.8664,0.04047,-0.00539,0.7848,0.9357
simple,v2,3,50,A_kappa,0.0436,0.0318,0.07039,-0.01174,-0.0236,0.228
simple,v2,3,50,A_macrof1,0.2183,0.8929,0.10888,0.67465,0.5339,0.967
simple,v2,3,50,B_oa,0.8784,0.8736,0.04412,-0.00479,0.7895,0.96
simple,v2,3,50,C_oa,0.8781,0.8734,0.04432,-0.00467,0.7895,0.96
simple,v2,3,50,A_oa_wtd,0.8718,0.8664,0.04047,-0.00539,0.7848,0.9357
simple,v2,3,50,A_macrof1_wtd,0.2183,0.8929,0.10888,0.67465,0.5339,0.967
simple,v2,3,50,C_frac_majority,,0.998,0.00603,,,
strat,v2,3,50,A_oa,0.8718,0.4717,0.04403,-0.40007,0.3897,0.5667
