design,version,W,n,cls,frac_absent
strat,v2,9,500,Harvest,0.0
strat,v2,9,500,Development,0.0
strat,v2,9,500,Insect/Disease,0.0
strat,v2,9,500,Beaver,0.0
simple,v2,9,1000,Stable,0.0
simple,v2,9,1000,Harvest,0.0
simple,v2,9,1000,Development,0.0
simple,v2,9,1000,Insect/Disease,0.0
simple,v2,9,1000,Beaver,0.0
strat,v2,9,1000,Stable,0.0
strat,v2,9,1000,Harvest,0.0
strat,v2,9,1000,Development,0.0
strat,v2,9,1000,Insect/Disease,0.0
strat,v2,9,1000,Beaver,0.0
simple,v2,9,2000,Stable,0.0
simple,v2,9,2000,Harvest,0.0
simple,v2,9,2000,Development,0.0
simple,v2,9,2000,Insect/Disease,0.0
simple,v2,9,2000,Beaver,0.0
strat,v2,9,2000,Stable,0.0
strat,v2,9,2000,Harvest,0.0
strat,v2,9,2000,Development,0.0
strat,v2,9,2000,Insect/Disease,0.0
strat,v2,9,2000,Beaver,0.0
simple,v2,9,5000,Stable,0.0
simple,v2,9,5000,Harvest,0.0
simple,v2,9,5000,Development,0.0
simple,v2,9,5000,Insect/Disease,0.0
simple,v2,9,5000,Beaver,0.0
strat,v2,9,5000,Stable,0.0
strat,v2,9,5000,Harvest,0.0
strat,v2,9,5000,Development,0.0
strat,v2,9,5000,Insect/Disease,0.0
strat,v2,9,5000,Beaver,0.0
simple,v3,1,20,Stable,0.0
simple,v3,1,20,Harvest,0.52
simple,v3,1,20,Development,0.71
simple,v3,1,20,Insect/Disease,0.46
simple,v3,1,20,Beaver,0.04
strat,v3,1,20,Stable,0.0
strat,v3,1,20,Harvest,0.0
strat,v3,1,20,Development,0.0
strat,v3,1,20,Insect/Disease,0.0
strat,v3,1,20,Beaver,0.0
simple,v3,1,50,Stable,0.0
simple,v3,1,50,Harvest,0.32
simple,v3,1,50,Development,0.46
simple,v3,1,50,Insect/Disease,0.15
simple,v3,1,50,Beaver,0.0
strat,v3,1,50,Stable,0.0
strat,v3,1,50,Harvest,0.0
strat,v3,1,50,Development,0.0
strat,v3,1,50,Insect/Disease,0.0
strat,v3,1,50,Beaver,0.0
simple,v3,1,100,Stable,0.0
simple,v3,1,100,Harvest,0.04
simple,v3,1,100,Development,0.21
simple,v3,1,100,Insect/Disease,0.03
simple,v3,1,100,Beaver,0.0
strat,v3,1,100,Stable,0.0
strat,v3,1,100,Harvest,0.0
strat,v3,1,100,Development,0.0
strat,v3,1,100,Insect/Disease,0.0
strat,v3,1,100,Beaver,0.0
simple,v3,1,200,Stable,0.0
simple,v3,1,200,Harvest,0.0
simple,v3,1,200,Development,0.07
simple,v3,1,200,Insect/Disease,0.0
simple,v3,1,200,Beaver,0.0
strat,v3,1,200,Stable,0.0
strat,v3,1,200,Harvest,0.0
strat,v3,1,200,Development,0.0
strat,v3,1,200,Insect/Disease,0.0
strat,v3,1,200,Beaver,0.0
simple,v3,1,500,Stable,0.0
simple,v3,1,500,Harvest,0.0
simple,v3,1,500,Development,0.0
simple,v3,1,500,Insect/Disease,0.0
simple,v3,1,500,Beaver,0.0
strat,v3,1,500,Stable,0.0
strat,v3,1,500,Harvest,0.0
strat,v3,1,500,Development,0.0
strat,v3,1,500,Insect/Disease,0.0
strat,v3,1,500,Beaver,0.0
simple,v3,1,1000,Stable,0.0
simple,v3,1,1000,Harvest,0.0
simple,v3,1,1000,Development,0.0
simple,v3,1,1000,Insect/Disease,0.0
simple,v3,1,1000,Beaver,0.0
strat,v3,1,1000,Stable,0.0
strat,v3,1,1000,Harvest,0.0
strat,v3,1,1000,Development,0.0
strat,v3,1,1000,Insect/Disease,0.0
strat,v3,1,1000,Beaver,0.0
simple,v3,1,2000,Stable,0.0
simple,v3,1,2000,Harvest,0.0
simple,v3,1,2000,Development,0.0
simple,v3,1,2000,Insect/Disease,0.0
simple,v3,1,2000,Beaver,0.0
strat,v3,1,2000,Stable,0.0
strat,v3,1,2000,Harvest,0.0
strat,v3,1,2000,Development,0.0
strat,v3,1,2000,Insect/Disease,0.0
strat,v3,1,2000,Beaver,0.0
simple,v3,1,5000,Stable,0.0
simple,v3,1,5000,Harvest,0.0
simple,v3,1,5000,Development,0.0
simple,v3,1,5000,Insect/Disease,0.0
simple,v3,1,5000,Beaver,0.0
strat,v3,1,5000,Stable,0.0
strat,v3,1,5000,Harvest,0.0
strat,v3,1,5000,Development,0.0
strat,v3,1,5000,Insect/Disease,0.0
strat,v3,1,5000,Beaver,0.0
simple,v3,3,20,Stable,0.0
simple,v3,3,20,Harvest,0.47
simple,v3,3,20,Development,0.61
simple,v3,3,20,Insect/Disease,0.23
simple,v3,3,20,Beaver,0.01
strat,v3,3,20,Stable,0.0
strat,v3,3,20,Harvest,0.0
strat,v3,3,20,Development,0.0
strat,v3,3,20,Insect/Disease,0.0
strat,v3,3,20,Beaver,0.0
simple,v3,3,50,Stable,0.0
simple,v3,3,50,Harvest,0.1
simple,v3,3,50,Development,0.33
simple,v3,3,50,Insect/Disease,0.07
simple,v3,3,50,Beaver,0.0
strat,v3,3,50,Stable,0.0
strat,v3,3,50,Harvest,0.0
strat,v3,3,50,Development,0.0
strat,v3,3,50,Insect/Disease,0.0
strat,v3,3,50,Beaver,0.0
simple,v3,3,100,Stable,0.0
simple,v3,3,100,Harvest,0.01
simple,v3,3,100,Development,0.03
simple,v3,3,100,Insect/Disease,0.01
simple,v3,3,100,Beaver,0.0
strat,v3,3,100,Stable,0.0
strat,v3,3,100,Harvest,0.0
strat,v3,3,100,Development,0.0
strat,v3,3,100,Insect/Disease,0.0
strat,v3,3,100,Beaver,0.0
simple,v3,3,200,Stable,0.0
simple,v3,3,200,Harvest,0.0
simple,v3,3,200,Development,0.01
simple,v3,3,200,Insect/Disease,0.0
simple,v3,3,200,Beaver,0.0
strat,v3,3,200,Stable,0.0
strat,v3,3,200,Harvest,0.0
strat,v3,3,200,Development,0.0
strat,v3,3,200,Insect/Disease,0.0
strat,v3,3,200,Beaver,0.0
simple,v3,3,500,Stable,0.0
simple,v3,3,500,Harvest,0.0
simple,v3,3,500,Development,0.0
simple,v3,3,500,Insect/Disease,0.0
simple,v3,3,500,Beaver,0.0
strat,v3,3,500,Stable,0.0
strat,v3,3,500,Harvest,0.0
strat,v3,3,500,Development,0.0
strat,v3,3,500,Insect/Disease,0.0
strat,v3,3,500,Beaver,0.0
simple,v3,3,1000,Stable,0.0
simple,v3,3,1000,Harvest,0.0
simple,v3,3,1000,Development,0.0
simple,v3,3,1000,Insect/Disease,0.0
