version,W,n,cls,sd_simple,sd_strat,strat_efficiency
v4,5,1000,Water,0.04215,0.03742,0.888
v4,5,1000,Agriculture,0.03252,0.03738,1.149
v4,5,1000,Grass/Shrub,0.03336,0.03165,0.949
v4,5,1000,Wetland,0.02559,0.03375,1.319
v4,5,1000,Beaver,0.07252,0.0303,0.418
v4,5,1000,Insect/Disease,0.0185,0.01565,0.846
v4,5,2000,Harvest,0.04088,0.02277,0.557
v4,5,2000,Development,0.01332,0.00752,0.565
v4,5,2000,Forest,0.00986,0.01848,1.875
v4,5,2000,Urban,0.01492,0.01077,0.722
v4,5,2000,Water,0.02713,0.02439,0.899
v4,5,2000,Agriculture,0.02057,0.02744,1.334
v4,5,2000,Grass/Shrub,0.02067,0.02207,1.068
v4,5,2000,Wetland,0.02167,0.02354,1.086
v4,5,2000,Beaver,0.03586,0.02008,0.56
v4,5,2000,Insect/Disease,0.01714,0.01354,0.79
v4,5,5000,Harvest,0.02571,0.01181,0.459
v4,5,5000,Development,0.00767,0.0058,0.756
v4,5,5000,Forest,0.00599,0.01084,1.808
v4,5,5000,Urban,0.00961,0.0078,0.812
v4,5,5000,Water,0.01776,0.01905,1.072
v4,5,5000,Agriculture,0.01327,0.01645,1.24
v4,5,5000,Grass/Shrub,0.0137,0.01223,0.893
v4,5,5000,Wetland,0.01423,0.01378,0.968
v4,5,5000,Beaver,0.01811,0.00778,0.43
v4,5,5000,Insect/Disease,0.01193,0.0102,0.855
v4,7,20,Harvest,0.09295,0.25364,2.729
v4,7,20,Development,0.05051,0.15914,3.151
v4,7,20,Forest,0.08436,0.17649,2.092
v4,7,20,Urban,0.1378,0.11012,0.799
v4,7,20,Water,0.22159,0.27353,1.234
v4,7,20,Agriculture,0.22163,0.26482,1.195
v4,7,20,Grass/Shrub,0.16864,0.17217,1.021
v4,7,20,Wetland,0.13804,0.1978,1.433
v4,7,20,Beaver,,0.2304,
v4,7,20,Insect/Disease,0.06442,0.15113,2.346
v4,7,50,Harvest,0.11387,0.10731,0.942
v4,7,50,Development,0.01161,0.04431,3.815
v4,7,50,Forest,0.05525,0.11971,2.167
v4,7,50,Urban,0.08978,0.07639,0.851
v4,7,50,Water,0.17506,0.17807,1.017
v4,7,50,Agriculture,0.12192,0.17737,1.455
v4,7,50,Grass/Shrub,0.13283,0.12739,0.959
v4,7,50,Wetland,0.11264,0.13989,1.242
v4,7,50,Beaver,,0.09803,
v4,7,50,Insect/Disease,0.10007,0.08869,0.886
v4,7,100,Harvest,0.13252,0.08117,0.613
v4,7,100,Development,0.15187,0.01476,0.097
v4,7,100,Forest,0.03809,0.0866,2.273
v4,7,100,Urban,0.05298,0.05129,0.968
v4,7,100,Water,0.10338,0.13171,1.274
v4,7,100,Agriculture,0.08908,0.10076,1.131
v4,7,100,Grass/Shrub,0.09391,0.09092,0.968
v4,7,100,Wetland,0.09431,0.10731,1.138
v4,7,100,Beaver,0.17687,0.04573,0.259
v4,7,100,Insect/Disease,0.05478,0.03968,0.724
v4,7,200,Harvest,0.16263,0.04681,0.288
v4,7,200,Development,0.10451,0.01755,0.168
v4,7,200,Forest,0.02999,0.05862,1.955
v4,7,200,Urban,0.0451,0.04121,0.914
v4,7,200,Water,0.09643,0.08166,0.847
v4,7,200,Agriculture,0.05964,0.09164,1.537
v4,7,200,Grass/Shrub,0.06616,0.06869,1.038
v4,7,200,Wetland,0.06531,0.07066,1.082
v4,7,200,Beaver,0.07483,0.02496,0.334
v4,7,200,Insect/Disease,0.0697,0.0349,0.501
v4,7,500,Harvest,0.06796,0.04402,0.648
v4,7,500,Development,0.03919,0.00779,0.199
v4,7,500,Forest,0.01741,0.03467,1.991
v4,7,500,Urban,0.0268,0.02366,0.883
v4,7,500,Water,0.05832,0.04907,0.842
v4,7,500,Agriculture,0.03852,0.05339,1.386
v4,7,500,Grass/Shrub,0.03826,0.04168,1.089
v4,7,500,Wetland,0.04039,0.04724,1.17
v4,7,500,Beaver,0.07589,0.01719,0.226
v4,7,500,Insect/Disease,0.03827,0.01733,0.453
v4,7,1000,Harvest,0.0478,0.0319,0.667
v4,7,1000,Development,0.01955,0.01274,0.651
v4,7,1000,Forest,0.01183,0.02472,2.089
v4,7,1000,Urban,0.01897,0.01753,0.924
v4,7,1000,Water,0.03779,0.04038,1.069
v4,7,1000,Agriculture,0.03243,0.03259,1.005
v4,7,1000,Grass/Shrub,0.03067,0.02977,0.971
v4,7,1000,Wetland,0.02734,0.03448,1.261
v4,7,1000,Beaver,0.05402,0.03073,0.569
v4,7,1000,Insect/Disease,0.01907,0.03904,2.047
v4,7,2000,Harvest,0.03867,0.02064,0.534
v4,7,2000,Development,0.01879,0.00874,0.465
v4,7,2000,Forest,0.0091,0.0159,1.747
v4,7,2000,Urban,0.01404,0.01019,0.726
v4,7,2000,Water,0.02358,0.0275,1.166
v4,7,2000,Agriculture,0.02141,0.02203,1.029
v4,7,2000,Grass/Shrub,0.02018,0.02079,1.03
v4,7,2000,Wetland,0.01918,0.02148,1.12
v4,7,2000,Beaver,0.03371,0.03263,0.968
v4,7,2000,Insect/Disease,0.01613,0.01616,1.001
v4,7,5000,Harvest,0.02059,0.01241,0.603
v4,7,5000,Development,0.00803,0.00437,0.544
v4,7,5000,Forest,0.00519,0.01125,2.169
