design,version,W,n,cls,census_corr,mean_corr,frac_undefined,mean_rmse,mean_bias
simple,v2,1,5000,Wetland,0.3394,0.3374,0.0,0.3386,-0.0308
simple,v2,1,5000,Beaver,0.0206,0.02,0.12,0.26,0.0671
simple,v2,1,5000,Insect/Disease,0.0202,0.0185,0.0,0.154,0.0177
strat,v2,1,5000,Harvest,0.0725,0.1063,0.0,0.3321,-0.0746
strat,v2,1,5000,Development,0.0237,0.173,0.0,0.3185,-0.0801
strat,v2,1,5000,Forest,0.6309,0.3539,0.0,0.4684,0.1666
strat,v2,1,5000,Urban,0.4856,0.4992,0.0,0.3346,0.0479
strat,v2,1,5000,Water,0.9351,0.914,0.0,0.126,0.0051
strat,v2,1,5000,Agriculture,0.7657,0.6203,0.0,0.2826,0.0327
strat,v2,1,5000,Grass/Shrub,0.1977,0.2324,0.0,0.3625,-0.0111
strat,v2,1,5000,Wetland,0.3394,0.2557,0.0,0.3685,0.0031
strat,v2,1,5000,Beaver,0.0206,0.2904,0.0,0.3469,-0.0132
strat,v2,1,5000,Insect/Disease,0.0202,0.1065,0.0,0.3302,-0.0767
simple,v2,3,20,Harvest,0.0874,0.2996,0.91,0.075,0.0003
simple,v2,3,20,Development,0.0341,-0.0526,0.99,0.0421,0.0104
simple,v2,3,20,Forest,0.7056,0.6881,0.0,0.3615,-0.0833
simple,v2,3,20,Urban,0.6405,0.6777,0.3,0.135,0.0251
simple,v2,3,20,Water,0.9617,0.9822,0.17,0.0264,-0.0009
simple,v2,3,20,Agriculture,0.8371,0.8237,0.03,0.1757,-0.0107
simple,v2,3,20,Grass/Shrub,0.2507,0.2906,0.06,0.2954,0.0097
simple,v2,3,20,Wetland,0.4248,0.4501,0.09,0.2548,-0.0353
simple,v2,3,20,Beaver,0.0308,0.5041,0.96,0.206,0.0706
simple,v2,3,20,Insect/Disease,0.0291,0.1275,0.88,0.0859,0.0142
strat,v2,3,20,Harvest,0.0874,0.3119,0.38,0.285,-0.0642
strat,v2,3,20,Development,0.0341,0.1539,0.48,0.2274,-0.0475
strat,v2,3,20,Forest,0.7056,0.5144,0.0,0.3672,0.0896
strat,v2,3,20,Urban,0.6405,0.649,0.02,0.2524,0.0622
strat,v2,3,20,Water,0.9617,0.9251,0.0,0.0891,-0.001
strat,v2,3,20,Agriculture,0.8371,0.7127,0.0,0.2187,0.0067
strat,v2,3,20,Grass/Shrub,0.2507,0.3228,0.01,0.2887,-0.0255
strat,v2,3,20,Wetland,0.4248,0.3821,0.04,0.2893,-0.0139
strat,v2,3,20,Beaver,0.0308,0.349,0.03,0.2398,0.024
strat,v2,3,20,Insect/Disease,0.0291,0.1695,0.49,0.2122,-0.0305
simple,v2,3,50,Harvest,0.0874,0.2103,0.61,0.0966,-0.0023
simple,v2,3,50,Development,0.0341,0.2098,0.93,0.044,0.0064
simple,v2,3,50,Forest,0.7056,0.703,0.0,0.3598,-0.0856
simple,v2,3,50,Urban,0.6405,0.6064,0.02,0.1552,0.0249
simple,v2,3,50,Water,0.9617,0.9536,0.02,0.0609,0.0014
simple,v2,3,50,Agriculture,0.8371,0.8248,0.0,0.1874,-0.0083
simple,v2,3,50,Grass/Shrub,0.2507,0.2495,0.0,0.2999,0.004
simple,v2,3,50,Wetland,0.4248,0.377,0.0,0.2816,-0.028
simple,v2,3,50,Beaver,0.0308,-0.0139,0.93,0.2223,0.0689
simple,v2,3,50,Insect/Disease,0.0291,0.0715,0.64,0.1245,0.0185
strat,v2,3,50,Harvest,0.0874,0.1377,0.17,0.2922,-0.0634
strat,v2,3,50,Development,0.0341,0.1689,0.12,0.2336,-0.0429
strat,v2,3,50,Forest,0.7056,0.4693,0.0,0.388,0.0865
strat,v2,3,50,Urban,0.6405,0.6944,0.0,0.2413,0.0565
strat,v2,3,50,Water,0.9617,0.963,0.0,0.0706,-0.0018
strat,v2,3,50,Agriculture,0.8371,0.7019,0.0,0.2348,0.013
strat,v2,3,50,Grass/Shrub,0.2507,0.2544,0.0,0.3011,-0.0231
strat,v2,3,50,Wetland,0.4248,0.377,0.0,0.2924,-0.012
strat,v2,3,50,Beaver,0.0308,0.3232,0.0,0.2646,0.028
strat,v2,3,50,Insect/Disease,0.0291,0.1282,0.15,0.2326,-0.0408
simple,v2,3,100,Harvest,0.0874,0.0832,0.27,0.1241,-0.0004
simple,v2,3,100,Development,0.0341,0.1322,0.88,0.0518,0.0057
