design,version,W,n,metric,census,mean,sd,bias,lo,hi
simple,v2,1,2000,B_oa,0.6627,0.6623,0.01224,-0.00035,0.6417,0.6833
simple,v2,1,2000,C_oa,0.6627,0.6623,0.01224,-0.00035,0.6417,0.6833
simple,v2,1,2000,A_oa_wtd,0.6627,0.6623,0.01224,-0.00035,0.6417,0.6833
simple,v2,1,2000,A_macrof1_wtd,0.3811,0.5091,0.05007,0.12803,0.4195,0.6187
simple,v2,1,2000,C_frac_majority,,1.0,0.0,,,
strat,v2,1,2000,A_oa,0.6627,0.4319,0.00796,-0.23074,0.4157,0.446
strat,v2,1,2000,A_kappa,0.5368,0.3688,0.00885,-0.16798,0.3508,0.3845
strat,v2,1,2000,A_macrof1,0.3811,0.3907,0.00782,0.00959,0.3728,0.4048
strat,v2,1,2000,B_oa,0.6627,0.6637,0.01772,0.00102,0.6327,0.696
strat,v2,1,2000,C_oa,0.6627,0.6637,0.01772,0.00102,0.6327,0.696
strat,v2,1,2000,A_oa_wtd,0.6627,0.6637,0.01772,0.00102,0.6327,0.696
strat,v2,1,2000,A_macrof1_wtd,0.3811,0.3817,0.00851,0.00063,0.3653,0.3973
strat,v2,1,2000,C_frac_majority,,1.0,0.0,,,
simple,v2,1,5000,A_oa,0.6627,0.6626,0.00614,-1e-05,0.6498,0.6746
simple,v2,1,5000,A_kappa,0.5368,0.5363,0.00736,-0.00042,0.5223,0.5493
simple,v2,1,5000,A_macrof1,0.3811,0.4552,0.04602,0.07415,0.3835,0.5492
simple,v2,1,5000,B_oa,0.6627,0.6626,0.00614,-1e-05,0.6498,0.6746
simple,v2,1,5000,C_oa,0.6627,0.6626,0.00614,-1e-05,0.6498,0.6746
simple,v2,1,5000,A_oa_wtd,0.6627,0.6626,0.00614,-1e-05,0.6498,0.6746
simple,v2,1,5000,A_macrof1_wtd,0.3811,0.4552,0.04602,0.07415,0.3835,0.5492
simple,v2,1,5000,C_frac_majority,,1.0,0.0,,,
strat,v2,1,5000,A_oa,0.6627,0.4322,0.00529,-0.23049,0.4227,0.4429
strat,v2,1,5000,A_kappa,0.5368,0.3691,0.00588,-0.1677,0.3585,0.381
strat,v2,1,5000,A_macrof1,0.3811,0.391,0.00546,0.00995,0.381,0.4016
strat,v2,1,5000,B_oa,0.6627,0.6631,0.01046,0.00042,0.6388,0.685
strat,v2,1,5000,C_oa,0.6627,0.6631,0.01046,0.00042,0.6388,0.685
strat,v2,1,5000,A_oa_wtd,0.6627,0.6631,0.01046,0.00042,0.6388,0.685
strat,v2,1,5000,A_macrof1_wtd,0.3811,0.3808,0.00506,-0.00025,0.3709,0.39
strat,v2,1,5000,C_frac_majority,,1.0,0.0,,,
simple,v2,3,20,A_oa,0.6634,0.6586,0.09621,-0.00476,0.4743,0.8447
simple,v2,3,20,A_kappa,0.5375,0.5212,0.12571,-0.0163,0.3084,0.767
simple,v2,3,20,A_macrof1,0.3817,0.6702,0.10284,0.28857,0.4826,0.865
simple,v2,3,20,B_oa,0.6911,0.68,0.11078,-0.01105,0.4738,0.8762
simple,v2,3,20,C_oa,0.6766,0.6695,0.10984,-0.0071,0.4475,0.85
simple,v2,3,20,A_oa_wtd,0.6634,0.6586,0.09621,-0.00476,0.4743,0.8447
simple,v2,3,20,A_macrof1_wtd,0.3817,0.6702,0.10284,0.28857,0.4826,0.865
simple,v2,3,20,C_frac_majority,,0.9885,0.02447,,,
strat,v2,3,20,A_oa,0.6634,0.474,0.07419,-0.18936,0.3301,0.6003
strat,v2,3,20,A_kappa,0.5375,0.3999,0.08299,-0.13763,0.2433,0.5442
strat,v2,3,20,A_macrof1,0.3817,0.5455,0.079,0.16381,0.416,0.7168
strat,v2,3,20,B_oa,0.6911,0.6918,0.17803,0.00072,0.2895,0.9373
strat,v2,3,20,C_oa,0.6766,0.6723,0.1848,-0.00435,0.2765,0.9321
strat,v2,3,20,A_oa_wtd,0.6634,0.6771,0.14349,0.01371,0.3238,0.8842
strat,v2,3,20,A_macrof1_wtd,0.3817,0.5734,0.1026,0.19171,0.3832,0.7998
strat,v2,3,20,C_frac_majority,,0.977,0.03132,,,
simple,v2,3,50,A_oa,0.6634,0.6576,0.05854,-0.00578,0.5611,0.7734
simple,v2,3,50,A_kappa,0.5375,0.5261,0.07587,-0.01141,0.3984,0.6806
simple,v2,3,50,A_macrof1,0.3817,0.6034,0.06691,0.22179,0.4895,0.7623
simple,v2,3,50,B_oa,0.6911,0.6808,0.06463,-0.01025,0.5495,0.7905
simple,v2,3,50,C_oa,0.6766,0.6662,0.06701,-0.0104,0.52,0.78
simple,v2,3,50,A_oa_wtd,0.6634,0.6576,0.05854,-0.00578,0.5611,0.7734
simple,v2,3,50,A_macrof1_wtd,0.3817,0.6034,0.06691,0.22179,0.4895,0.7623
simple,v2,3,50,C_frac_majority,,0.985,0.01567,,,
strat,v2,3,50,A_oa,0.6634,0.4714,0.04618,-0.19193,0.3798,0.549
strat,v2,3,50,A_kappa,0.5375,0.3982,0.05035,-0.1393,0.3001,0.4826
strat,v2,3,50,A_macrof1,0.3817,0.4754,0.05461,0.09374,0.3624,0.5715
