design,version,W,n,cls,metric,census,mean,sd,bias,frac_undefined
strat,v2,1,50,Urban,recall,0.6797,0.628,0.21839,-0.05174,0.0
strat,v2,1,50,Water,recall,0.9464,0.95,0.11146,0.00361,0.0
strat,v2,1,50,Agriculture,recall,0.7667,0.752,0.18229,-0.01467,0.0
strat,v2,1,50,Grass/Shrub,recall,0.2905,0.288,0.19347,-0.00252,0.0
strat,v2,1,50,Wetland,recall,0.3386,0.316,0.20924,-0.02262,0.0
strat,v2,1,50,Beaver,recall,0.3293,0.326,0.19829,-0.00326,0.0
strat,v2,1,50,Insect/Disease,recall,0.0713,0.064,0.10591,-0.00734,0.0
strat,v2,1,50,Harvest,precision,0.0888,0.3533,0.43097,0.26447,0.24
strat,v2,1,50,Development,precision,0.0073,0.3374,0.46749,0.33015,0.32
strat,v2,1,50,Forest,precision,0.8795,0.8802,0.06892,0.0007,0.0
strat,v2,1,50,Urban,precision,0.3781,0.4492,0.27391,0.07106,0.0
strat,v2,1,50,Water,precision,0.9349,0.9358,0.10186,0.00092,0.0
strat,v2,1,50,Agriculture,precision,0.8345,0.8589,0.12658,0.0244,0.0
strat,v2,1,50,Grass/Shrub,precision,0.2546,0.3195,0.2781,0.06484,0.0
strat,v2,1,50,Wetland,precision,0.4735,0.5201,0.32979,0.04659,0.0
strat,v2,1,50,Beaver,precision,0.0019,0.0619,0.21994,0.06003,0.01
strat,v2,1,50,Insect/Disease,precision,0.0113,0.304,0.43247,0.29272,0.35
strat,v2,1,50,Harvest,f1,0.082,0.32,0.08452,0.238,0.66
strat,v2,1,50,Development,f1,0.0135,0.2178,0.17806,0.20432,0.59
strat,v2,1,50,Forest,f1,0.7999,0.7895,0.13039,-0.01043,0.0
strat,v2,1,50,Urban,f1,0.4859,0.4838,0.16518,-0.00212,0.02
strat,v2,1,50,Water,f1,0.9406,0.9372,0.08764,-0.00342,0.0
strat,v2,1,50,Agriculture,f1,0.7991,0.7904,0.14054,-0.00877,0.0
strat,v2,1,50,Grass/Shrub,f1,0.2714,0.3214,0.15124,0.04998,0.16
strat,v2,1,50,Wetland,f1,0.3949,0.4226,0.18801,0.02773,0.13
strat,v2,1,50,Beaver,f1,0.0038,0.0432,0.1085,0.03935,0.09
strat,v2,1,50,Insect/Disease,f1,0.0195,0.2807,0.12667,0.26119,0.71
simple,v2,1,100,Harvest,recall,0.0762,0.1111,0.28545,0.03489,0.34
simple,v2,1,100,Development,recall,0.0914,0.0,0.0,-0.09138,0.93
simple,v2,1,100,Forest,recall,0.7335,0.7328,0.06303,-0.00073,0.0
simple,v2,1,100,Urban,recall,0.6797,0.6461,0.27535,-0.0336,0.02
simple,v2,1,100,Water,recall,0.9464,0.9566,0.07017,0.01023,0.0
simple,v2,1,100,Agriculture,recall,0.7667,0.7603,0.09938,-0.00634,0.0
simple,v2,1,100,Grass/Shrub,recall,0.2905,0.2808,0.17361,-0.00971,0.0
simple,v2,1,100,Wetland,recall,0.3386,0.3187,0.15296,-0.01997,0.0
simple,v2,1,100,Beaver,recall,0.3293,0.0,0.0,-0.32926,0.95
simple,v2,1,100,Insect/Disease,recall,0.0713,0.125,0.32275,0.05366,0.72
simple,v2,1,100,Harvest,precision,0.0888,0.1208,0.29649,0.032,0.4
simple,v2,1,100,Development,precision,0.0073,0.0,0.0,-0.00727,0.36
simple,v2,1,100,Forest,precision,0.8795,0.8774,0.05417,-0.00214,0.0
simple,v2,1,100,Urban,precision,0.3781,0.3889,0.22739,0.01081,0.0
simple,v2,1,100,Water,precision,0.9349,0.9289,0.08278,-0.00604,0.0
simple,v2,1,100,Agriculture,precision,0.8345,0.8327,0.1022,-0.00173,0.0
simple,v2,1,100,Grass/Shrub,precision,0.2546,0.2362,0.14059,-0.01842,0.0
simple,v2,1,100,Wetland,precision,0.4735,0.4547,0.20094,-0.01883,0.0
simple,v2,1,100,Beaver,precision,0.0019,0.0,0.0,-0.00191,0.0
simple,v2,1,100,Insect/Disease,precision,0.0113,0.0229,0.12364,0.01159,0.09
simple,v2,1,100,Harvest,f1,0.082,0.6833,0.24152,0.60129,0.9
simple,v2,1,100,Development,f1,0.0135,,,,1.0
simple,v2,1,100,Forest,f1,0.7999,0.797,0.049,-0.00294,0.0
simple,v2,1,100,Urban,f1,0.4859,0.4812,0.18561,-0.00472,0.06
simple,v2,1,100,Water,f1,0.9406,0.9397,0.05974,-0.00094,0.0
