design,version,W,n,cls,frac_absent
simple,v2,5,5000,Wetland,0.0
simple,v2,5,5000,Beaver,0.0
simple,v2,5,5000,Insect/Disease,0.0
strat,v2,5,5000,Harvest,0.0
strat,v2,5,5000,Development,0.0
strat,v2,5,5000,Forest,0.0
strat,v2,5,5000,Urban,0.0
strat,v2,5,5000,Water,0.0
strat,v2,5,5000,Agriculture,0.0
strat,v2,5,5000,Grass/Shrub,0.0
strat,v2,5,5000,Wetland,0.0
strat,v2,5,5000,Beaver,0.0
strat,v2,5,5000,Insect/Disease,0.0
simple,v2,7,20,Harvest,0.19
simple,v2,7,20,Development,0.44
simple,v2,7,20,Forest,0.0
simple,v2,7,20,Urban,0.02
simple,v2,7,20,Water,0.05
simple,v2,7,20,Agriculture,0.0
simple,v2,7,20,Grass/Shrub,0.0
simple,v2,7,20,Wetland,0.0
simple,v2,7,20,Beaver,0.03
simple,v2,7,20,Insect/Disease,0.17
strat,v2,7,20,Harvest,0.0
strat,v2,7,20,Development,0.0
strat,v2,7,20,Forest,0.0
strat,v2,7,20,Urban,0.0
strat,v2,7,20,Water,0.0
strat,v2,7,20,Agriculture,0.0
strat,v2,7,20,Grass/Shrub,0.0
strat,v2,7,20,Wetland,0.0
strat,v2,7,20,Beaver,0.0
strat,v2,7,20,Insect/Disease,0.0
simple,v2,7,50,Harvest,0.0
simple,v2,7,50,Development,0.15
simple,v2,7,50,Forest,0.0
simple,v2,7,50,Urban,0.0
simple,v2,7,50,Water,0.0
simple,v2,7,50,Agriculture,0.0
simple,v2,7,50,Grass/Shrub,0.0
simple,v2,7,50,Wetland,0.0
simple,v2,7,50,Beaver,0.0
simple,v2,7,50,Insect/Disease,0.0
strat,v2,7,50,Harvest,0.0
strat,v2,7,50,Development,0.0
strat,v2,7,50,Forest,0.0
strat,v2,7,50,Urban,0.0
strat,v2,7,50,Water,0.0
strat,v2,7,50,Agriculture,0.0
strat,v2,7,50,Grass/Shrub,0.0
strat,v2,7,50,Wetland,0.0
strat,v2,7,50,Beaver,0.0
strat,v2,7,50,Insect/Disease,0.0
simple,v2,7,100,Harvest,0.0
simple,v2,7,100,Development,0.01
simple,v2,7,100,Forest,0.0
simple,v2,7,100,Urban,0.0
simple,v2,7,100,Water,0.0
simple,v2,7,100,Agriculture,0.0
simple,v2,7,100,Grass/Shrub,0.0
simple,v2,7,100,Wetland,0.0
simple,v2,7,100,Beaver,0.0
simple,v2,7,100,Insect/Disease,0.0
strat,v2,7,100,Harvest,0.0
strat,v2,7,100,Development,0.0
strat,v2,7,100,Forest,0.0
strat,v2,7,100,Urban,0.0
