version,n,W,pixels_per_cell,mean_total_px,census_oa,mean_oa,sd_oa,oa_lo,oa_hi,bias_oa,census_mf1,mean_mf1,sd_mf1,census_kappa,mean_kappa,sd_kappa,sd_binom_oa,design_effect,sd_ratio,eff_sample_size
v6,2,7,98,17612.1,0.1874,0.1878,0.00665,0.1751,0.2011,0.00038,0.1039,0.1228,0.01225,0.0585,0.0589,0.00673,0.00294,5.12,2.263,3440.2
v6,5,7,245,44034.3,0.1874,0.1886,0.00473,0.1792,0.1971,0.00116,0.1039,0.1129,0.00906,0.0585,0.0593,0.00464,0.00186,6.457,2.541,6819.3
v6,10,7,490,88064.8,0.1874,0.1879,0.00297,0.1827,0.1936,0.0005,0.1039,0.1062,0.00582,0.0585,0.0588,0.00322,0.001315,5.092,2.257,17294.0
v6,25,7,1225,220146.0,0.1874,0.1881,0.00191,0.1846,0.1921,0.00075,0.1039,0.1038,0.00165,0.0585,0.0588,0.00206,0.000832,5.261,2.294,41844.8
v6,50,7,2450,440307.8,0.1874,0.1882,0.00146,0.1854,0.1908,0.00084,0.1039,0.1039,0.00106,0.0585,0.059,0.00157,0.000588,6.144,2.479,71665.5
v6,1,9,81,14557.6,0.1874,0.1881,0.01004,0.1672,0.208,0.00068,0.1039,0.1277,0.01485,0.0585,0.0585,0.01017,0.003234,9.645,3.106,1509.3
v6,2,9,162,29113.5,0.1874,0.188,0.00685,0.1748,0.2005,0.00065,0.1039,0.1172,0.01088,0.0585,0.0586,0.00754,0.002287,8.958,2.993,3249.9
v6,5,9,405,72786.1,0.1874,0.1888,0.00432,0.1805,0.1981,0.00138,0.1039,0.1078,0.0067,0.0585,0.0594,0.00462,0.001446,8.935,2.989,8146.6
v6,10,9,810,145583.2,0.1874,0.188,0.0029,0.183,0.1942,0.00063,0.1039,0.1045,0.0037,0.0585,0.0587,0.00308,0.001023,8.066,2.84,18049.8
v6,25,9,2025,363929.9,0.1874,0.1882,0.00175,0.1849,0.1916,0.00079,0.1039,0.1038,0.00124,0.0585,0.0589,0.00184,0.000647,7.325,2.707,49682.0
v6,50,9,4050,727856.4,0.1874,0.1882,0.00127,0.186,0.1906,0.00082,0.1039,0.1038,0.00089,0.0585,0.059,0.00132,0.000457,7.735,2.781,94093.3
