source,change_class,cell_id,bracket,f1,ref_pixels_of_class,pred_pixels_of_class,present_via
v3,harvest,01481,2021_2023,0.00522,3060,8,both
v3,beaver,01481,2021_2023,0.0,0,13898,prediction
v4,harvest,01481,2021_2023,0.03453,3060,68,both
v4,development,01481,2021_2023,0.0,0,348,prediction
v4,insect_disease,01481,2021_2023,0.0,0,3189,prediction
v4,beaver,01481,2021_2023,0.0,0,1,prediction
v5,harvest,01481,2021_2023,0.0,3060,0,reference
v5,beaver,01481,2021_2023,0.0,0,13210,prediction
v6,harvest,01481,2021_2023,0.01001,3060,15514,both
v6,development,01481,2021_2023,0.0,0,18934,prediction
v6,insect_disease,01481,2021_2023,0.0,0,15911,prediction
v6,beaver,01481,2021_2023,0.0,0,14953,prediction
spec_all,harvest,01481,2021_2023,0.00076,3060,2210,both
spec_all,development,01481,2021_2023,0.0,0,2984,prediction
spec_all,insect_disease,01481,2021_2023,0.0,0,8425,prediction
spec_all,beaver,01481,2021_2023,0.0,0,9832,prediction
v2,harvest,01762,2017_2019,0.13904,116,71,both
v2,development,01762,2017_2019,0.0,0,6,prediction
v2,insect_disease,01762,2017_2019,0.0,0,110,prediction
v2,beaver,01762,2017_2019,0.0,0,2753,prediction
v3,harvest,01762,2017_2019,0.0,116,0,reference
v3,development,01762,2017_2019,0.0,0,84,prediction
v3,beaver,01762,2017_2019,0.0,0,7233,prediction
v4,harvest,01762,2017_2019,0.0,116,55,both
v4,development,01762,2017_2019,0.0,0,266,prediction
v4,insect_disease,01762,2017_2019,0.0,0,8205,prediction
v4,beaver,01762,2017_2019,0.0,0,786,prediction
v5,harvest,01762,2017_2019,0.0,116,6,both
v5,development,01762,2017_2019,0.0,0,766,prediction
v5,beaver,01762,2017_2019,0.0,0,2433,prediction
v6,harvest,01762,2017_2019,0.00277,116,10710,both
v6,development,01762,2017_2019,0.0,0,6489,prediction
v6,insect_disease,01762,2017_2019,0.0,0,11674,prediction
v6,beaver,01762,2017_2019,0.0,0,10357,prediction
spec_all,harvest,01762,2017_2019,0.01927,116,403,both
spec_all,development,01762,2017_2019,0.0,0,4031,prediction
spec_all,insect_disease,01762,2017_2019,0.0,0,4741,prediction
spec_all,beaver,01762,2017_2019,0.0,0,3442,prediction
v2,harvest,01873,2017_2019,0.0,0,153,prediction
v2,development,01873,2017_2019,0.0,0,132,prediction
v3,harvest,01873,2017_2019,0.0,0,7,prediction
v3,development,01873,2017_2019,0.0,0,1032,prediction
v4,harvest,01873,2017_2019,0.0,0,1168,prediction
v4,development,01873,2017_2019,0.0,0,181,prediction
v4,insect_disease,01873,2017_2019,0.0,0,27667,prediction
v4,beaver,01873,2017_2019,0.0,0,2037,prediction
v5,harvest,01873,2017_2019,0.0,0,100,prediction
v5,development,01873,2017_2019,0.0,0,3384,prediction
v6,harvest,01873,2017_2019,0.0,0,14522,prediction
v6,development,01873,2017_2019,0.0,0,16941,prediction
v6,insect_disease,01873,2017_2019,0.0,0,17021,prediction
v6,beaver,01873,2017_2019,0.0,0,13771,prediction
spec_all,harvest,01873,2017_2019,0.0,0,5165,prediction
spec_all,development,01873,2017_2019,0.0,0,29921,prediction
spec_all,insect_disease,01873,2017_2019,0.0,0,71,prediction
spec_all,beaver,01873,2017_2019,0.0,0,1762,prediction
v2,harvest,01941,2019_2021,0.0,0,132,prediction
v2,development,01941,2019_2021,0.0,61,7624,both
v3,harvest,01941,2019_2021,0.0,0,407,prediction
v3,development,01941,2019_2021,0.0,61,5687,both
v4,harvest,01941,2019_2021,0.0,0,2034,prediction
v4,development,01941,2019_2021,0.0,61,9049,both
v4,beaver,01941,2019_2021,0.0,0,100,prediction
v5,harvest,01941,2019_2021,0.0,0,107,prediction
v5,development,01941,2019_2021,0.0,61,8180,both
v6,harvest,01941,2019_2021,0.0,0,16710,prediction
v6,development,01941,2019_2021,0.00123,61,26001,both
v6,insect_disease,01941,2019_2021,0.0,0,14741,prediction
v6,beaver,01941,2019_2021,0.0,0,13692,prediction
spec_all,harvest,01941,2019_2021,0.0,0,711,prediction
spec_all,development,01941,2019_2021,0.0,61,22821,both
spec_all,insect_disease,01941,2019_2021,0.0,0,763,prediction
spec_all,beaver,01941,2019_2021,0.0,0,963,prediction
v2,harvest,01993,2017_2019,0.0,0,35,prediction
v2,development,01993,2017_2019,0.02025,160,235,both
v3,harvest,01993,2017_2019,0.0,0,147,prediction
v3,development,01993,2017_2019,0.00098,160,3942,both
v4,harvest,01993,2017_2019,0.0,0,784,prediction
v4,development,01993,2017_2019,0.03279,160,23,both
v4,insect_disease,01993,2017_2019,0.0,0,23345,prediction
v4,beaver,01993,2017_2019,0.0,0,7,prediction
v5,harvest,01993,2017_2019,0.0,0,421,prediction
v5,development,01993,2017_2019,0.00095,160,6169,both
v6,harvest,01993,2017_2019,0.0,0,13064,prediction
v6,development,01993,2017_2019,0.0015,160,15813,both
v6,insect_disease,01993,2017_2019,0.0,0,16304,prediction
v6,beaver,01993,2017_2019,0.0,0,13444,prediction
spec_all,harvest,01993,2017_2019,0.0,0,571,prediction
spec_all,development,01993,2017_2019,0.01686,160,11939,both
spec_all,insect_disease,01993,2017_2019,0.0,0,1886,prediction
spec_all,beaver,01993,2017_2019,0.0,0,69,prediction
v2,development,02210,2017_2019,0.0,582,0,reference
v2,insect_disease,02210,2017_2019,0.00279,510,922,both
v2,beaver,02210,2017_2019,0.0,0,7365,prediction
v3,development,02210,2017_2019,0.0,582,0,reference
v3,insect_disease,02210,2017_2019,0.0,510,1,both
v3,beaver,02210,2017_2019,0.0,0,26542,prediction
v4,harvest,02210,2017_2019,0.0,0,10,prediction
v4,development,02210,2017_2019,0.00343,582,1,both
v4,insect_disease,02210,2017_2019,0.0,510,1220,both
v4,beaver,02210,2017_2019,0.0,0,11,prediction
v5,development,02210,2017_2019,0.0,582,0,reference
v5,insect_disease,02210,2017_2019,0.0,510,3,both
v5,beaver,02210,2017_2019,0.0,0,19674,prediction
v6,harvest,02210,2017_2019,0.0,0,7580,prediction
v6,development,02210,2017_2019,0.25996,582,2203,both
v6,insect_disease,02210,2017_2019,0.01061,510,3072,both
v6,beaver,02210,2017_2019,0.0,0,4323,prediction
spec_all,harvest,02210,2017_2019,0.0,0,51,prediction
spec_all,development,02210,2017_2019,0.7066,582,1054,both
spec_all,insect_disease,02210,2017_2019,0.01704,510,58631,both
spec_all,beaver,02210,2017_2019,0.0,0,426,prediction
v2,harvest,02670,2019_2021,0.0,43,96,both
v2,development,02670,2019_2021,0.0,0,9485,prediction
v2,insect_disease,02670,2019_2021,0.0,519,0,reference
v3,harvest,02670,2019_2021,0.0,43,593,both
v3,development,02670,2019_2021,0.0,0,6825,prediction
v3,insect_disease,02670,2019_2021,0.0,519,0,reference
v4,harvest,02670,2019_2021,0.00389,43,2012,both
v4,development,02670,2019_2021,0.0,0,11599,prediction
v4,insect_disease,02670,2019_2021,0.00383,519,3,both
v4,beaver,02670,2019_2021,0.0,0,208,prediction
v5,harvest,02670,2019_2021,0.0,43,161,both
v5,development,02670,2019_2021,0.0,0,7885,prediction
v5,insect_disease,02670,2019_2021,0.0,519,0,reference
v6,harvest,02670,2019_2021,0.00031,43,19557,both
v6,development,02670,2019_2021,0.0,0,22971,prediction
v6,insect_disease,02670,2019_2021,0.00641,519,18188,both
v6,beaver,02670,2019_2021,0.0,0,14972,prediction
spec_all,harvest,02670,2019_2021,0.0,43,4370,both
spec_all,development,02670,2019_2021,0.0,0,43398,prediction
spec_all,insect_disease,02670,2019_2021,0.0,519,1210,both
spec_all,beaver,02670,2019_2021,0.0,0,1194,prediction
v2,harvest,02770,2017_2019,0.0,0,1513,prediction
v2,development,02770,2017_2019,0.0,0,140,prediction
v3,harvest,02770,2017_2019,0.0,0,388,prediction
v3,development,02770,2017_2019,0.0,0,2514,prediction
v4,harvest,02770,2017_2019,0.0,0,9562,prediction
v4,development,02770,2017_2019,0.0,0,3,prediction
v4,insect_disease,02770,2017_2019,0.0,0,35218,prediction
v4,beaver,02770,2017_2019,0.0,0,260,prediction
v5,harvest,02770,2017_2019,0.0,0,568,prediction
v5,development,02770,2017_2019,0.0,0,1436,prediction
v6,harvest,02770,2017_2019,0.0,0,13874,prediction
v6,development,02770,2017_2019,0.0,0,18697,prediction
v6,insect_disease,02770,2017_2019,0.0,0,14698,prediction
v6,beaver,02770,2017_2019,0.0,0,11339,prediction
spec_all,harvest,02770,2017_2019,0.0,0,2187,prediction
spec_all,development,02770,2017_2019,0.0,0,30466,prediction
spec_all,insect_disease,02770,2017_2019,0.0,0,173,prediction
spec_all,beaver,02770,2017_2019,0.0,0,352,prediction
v2,harvest,03003,2019_2021,0.44444,807,264,both
v2,development,03003,2019_2021,0.0,0,17,prediction
v2,beaver,03003,2019_2021,0.01346,459,49774,both
v3,harvest,03003,2019_2021,0.02683,807,13,both
v3,beaver,03003,2019_2021,0.00888,459,63522,both
v4,harvest,03003,2019_2021,0.50029,807,896,both
v4,development,03003,2019_2021,0.0,0,8129,prediction
v4,beaver,03003,2019_2021,0.08962,459,2353,both
v5,harvest,03003,2019_2021,0.0,807,131,both
v5,beaver,03003,2019_2021,0.00954,459,63715,both
v6,harvest,03003,2019_2021,0.01722,807,10809,both
v6,development,03003,2019_2021,0.0,0,8997,prediction
v6,insect_disease,03003,2019_2021,0.0,0,17124,prediction
v6,beaver,03003,2019_2021,0.00992,459,14253,both
spec_all,harvest,03003,2019_2021,0.06424,807,19864,both
spec_all,development,03003,2019_2021,0.0,0,11708,prediction
spec_all,insect_disease,03003,2019_2021,0.0,0,3172,prediction
spec_all,beaver,03003,2019_2021,0.03028,459,13742,both
v2,harvest,03682,2017_2019,0.01383,2292,22,both
v2,insect_disease,03682,2017_2019,0.00107,176,1685,both
v2,beaver,03682,2017_2019,0.0,0,16281,prediction
v3,harvest,03682,2017_2019,0.0,2292,0,reference
v3,insect_disease,03682,2017_2019,0.0,176,0,reference
v3,beaver,03682,2017_2019,0.0,0,41417,prediction
v4,harvest,03682,2017_2019,0.0392,2292,55,both
v4,development,03682,2017_2019,0.0,0,41,prediction
v4,insect_disease,03682,2017_2019,0.01283,176,1850,both
v4,beaver,03682,2017_2019,0.0,0,136,prediction
v5,harvest,03682,2017_2019,0.0,2292,0,reference
v5,insect_disease,03682,2017_2019,0.0,176,1,both
v5,beaver,03682,2017_2019,0.0,0,32637,prediction
v6,harvest,03682,2017_2019,0.03472,2292,6752,both
v6,development,03682,2017_2019,0.0,0,1751,prediction
v6,insect_disease,03682,2017_2019,0.00523,176,2117,both
v6,beaver,03682,2017_2019,0.0,0,3206,prediction
spec_all,harvest,03682,2017_2019,0.0,2292,495,both
spec_all,development,03682,2017_2019,0.0,0,23708,prediction
spec_all,insect_disease,03682,2017_2019,0.00402,176,59988,both
spec_all,beaver,03682,2017_2019,0.0,0,784,prediction
v2,harvest,03693,2019_2021,0.12343,890,66,both
v2,development,03693,2019_2021,0.0,0,11,prediction
v2,insect_disease,03693,2019_2021,0.0,0,151,prediction
v2,beaver,03693,2019_2021,0.00482,171,38399,both
v3,harvest,03693,2019_2021,0.0,890,1,both
v3,beaver,03693,2019_2021,0.00299,171,54588,both
v4,harvest,03693,2019_2021,0.18523,890,1399,both
v4,development,03693,2019_2021,0.0,0,6749,prediction
v4,insect_disease,03693,2019_2021,0.0,0,284,prediction
v4,beaver,03693,2019_2021,0.02546,171,4700,both
v5,harvest,03693,2019_2021,0.0,890,33,both
v5,insect_disease,03693,2019_2021,0.0,0,2,prediction
v5,beaver,03693,2019_2021,0.00318,171,45119,both
v6,harvest,03693,2019_2021,0.00702,890,11930,both
v6,development,03693,2019_2021,0.0,0,8821,prediction
v6,insect_disease,03693,2019_2021,0.0,0,17839,prediction
v6,beaver,03693,2019_2021,0.00464,171,14910,both
spec_all,harvest,03693,2019_2021,0.16594,890,6450,both
spec_all,development,03693,2019_2021,0.0,0,12150,prediction
spec_all,insect_disease,03693,2019_2021,0.0,0,678,prediction
spec_all,beaver,03693,2019_2021,0.00094,171,44415,both
v2,harvest,03900,2019_2021,0.0,201,1,both
v2,insect_disease,03900,2019_2021,0.0,716,172,both
v2,beaver,03900,2019_2021,0.0,0,7686,prediction
v3,harvest,03900,2019_2021,0.0,201,0,reference
v3,insect_disease,03900,2019_2021,0.0,716,11,both
v3,beaver,03900,2019_2021,0.0,0,13010,prediction
v4,harvest,03900,2019_2021,0.0,201,4014,both
v4,development,03900,2019_2021,0.0,0,2292,prediction
v4,insect_disease,03900,2019_2021,0.0023,716,155,both
v4,beaver,03900,2019_2021,0.0,0,355,prediction
v5,harvest,03900,2019_2021,0.0,201,171,both
v5,insect_disease,03900,2019_2021,0.0,716,0,reference
v5,beaver,03900,2019_2021,0.0,0,22529,prediction
v6,harvest,03900,2019_2021,0.00371,201,13823,both
v6,development,03900,2019_2021,0.0,0,8897,prediction
v6,insect_disease,03900,2019_2021,0.01586,716,15048,both
v6,beaver,03900,2019_2021,0.0,0,11887,prediction
spec_all,harvest,03900,2019_2021,0.0,201,385,both
spec_all,development,03900,2019_2021,0.0,0,18291,prediction
spec_all,insect_disease,03900,2019_2021,0.03926,716,5805,both
spec_all,beaver,03900,2019_2021,0.0,0,3126,prediction
v2,harvest,04201,2017_2019,0.02681,155,218,both
v2,development,04201,2017_2019,0.02288,33,404,both
v3,harvest,04201,2017_2019,0.0,155,12,both
v3,development,04201,2017_2019,0.00626,33,5078,both
v4,harvest,04201,2017_2019,0.04517,155,332,both
v4,development,04201,2017_2019,0.0,33,30,both
v4,insect_disease,04201,2017_2019,0.0,0,10834,prediction
v4,beaver,04201,2017_2019,0.0,0,4,prediction
v5,harvest,04201,2017_2019,0.0,155,144,both
v5,development,04201,2017_2019,0.00462,33,6886,both
v6,harvest,04201,2017_2019,0.00393,155,14604,both
v6,development,04201,2017_2019,0.00091,33,10985,both
v6,insect_disease,04201,2017_2019,0.0,0,19777,prediction
v6,beaver,04201,2017_2019,0.0,0,16996,prediction
spec_all,harvest,04201,2017_2019,0.01626,155,1690,both
spec_all,development,04201,2017_2019,0.00898,33,6424,both
spec_all,insect_disease,04201,2017_2019,0.0,0,354,prediction
spec_all,beaver,04201,2017_2019,0.0,0,315,prediction
v2,harvest,04281,2021_2023,0.0,0,38,prediction
v2,development,04281,2021_2023,0.032,17,108,both
v3,harvest,04281,2021_2023,0.0,0,270,prediction
v3,development,04281,2021_2023,0.0,17,617,both
v4,harvest,04281,2021_2023,0.0,0,450,prediction
v4,development,04281,2021_2023,0.02116,17,172,both
v4,insect_disease,04281,2021_2023,0.0,0,575,prediction
v4,beaver,04281,2021_2023,0.0,0,4,prediction
v5,harvest,04281,2021_2023,0.0,0,1339,prediction
v5,development,04281,2021_2023,0.0,17,317,both
v6,harvest,04281,2021_2023,0.0,0,10629,prediction
v6,development,04281,2021_2023,0.00065,17,6153,both
v6,insect_disease,04281,2021_2023,0.0,0,10655,prediction
v6,beaver,04281,2021_2023,0.0,0,9934,prediction
spec_all,harvest,04281,2021_2023,0.0,0,961,prediction
spec_all,development,04281,2021_2023,0.00051,17,43156,both
spec_all,insect_disease,04281,2021_2023,0.0,0,8,prediction
spec_all,beaver,04281,2021_2023,0.0,0,1,prediction
v2,harvest,04363,2017_2019,0.03971,1726,37,both
v2,development,04363,2017_2019,0.0,0,23,prediction
v2,insect_disease,04363,2017_2019,0.0,0,1931,prediction
v2,beaver,04363,2017_2019,0.0,0,27102,prediction
v3,harvest,04363,2017_2019,0.00116,1726,1,both
v3,beaver,04363,2017_2019,0.0,0,38248,prediction
v4,harvest,04363,2017_2019,0.0,1726,0,reference
v4,development,04363,2017_2019,0.0,0,25,prediction
