variant,scope,cls,metric,estimate,ratio_se,ratio_ci_lo,ratio_ci_hi,boot_ci_lo,boot_ci_hi,support
v5,class,Insect/Disease,precision,0.00781,0.00423,-0.00048,0.01609,0.00094,0.01734,49560
v5,class,Insect/Disease,recall,0.07797,0.04254,-0.0054,0.16134,0.01116,0.18275,49560
v5,class,Insect/Disease,F1,0.0142,,,,0.00177,0.03073,49560
v5,class,Insect/Disease,IoU,0.00715,0.00383,-0.00035,0.01465,0.00089,0.01561,49560
v5,class,Beaver,precision,0.00086,0.00027,0.00033,0.00139,0.00043,0.00146,8399
v5,class,Beaver,recall,0.3142,0.07621,0.16484,0.46357,0.17322,0.47837,8399
v5,class,Beaver,F1,0.00172,,,,0.00086,0.00291,8399
v5,class,Beaver,IoU,0.00086,0.00027,0.00033,0.00138,0.00043,0.00146,8399
v6,overall,,OA,0.75016,0.01084,0.72891,0.7714,0.72949,0.77164,20437331
v6,overall,,kappa,0.00677,,,,0.00199,0.01193,20437331
v6,overall,,macro_F1,0.17829,,,,0.17471,0.18163,20437331
v6,overall,,mean_IoU,0.15382,,,,0.14926,0.15813,20437331
v6,overall,,baseline_OA,0.98524,,,,0.98041,0.98954,20437331
v6,class,Stable,precision,0.98719,0.0022,0.98289,0.9915,0.9826,0.99102,20135693
v6,class,Stable,recall,0.76013,0.011,0.73858,0.78168,0.73898,0.78173,20135693
v6,class,Stable,F1,0.85891,,,,0.84503,0.87252,20135693
v6,class,Stable,IoU,0.7527,0.01084,0.73147,0.77394,0.73164,0.77386,20135693
v6,class,Harvest,precision,0.01334,0.00269,0.00806,0.01862,0.00841,0.01857,231930
v6,class,Harvest,recall,0.08625,0.00741,0.07173,0.10078,0.07139,0.10032,231930
v6,class,Harvest,F1,0.0231,,,,0.0153,0.03078,231930
v6,class,Harvest,IoU,0.01169,0.00211,0.00756,0.01581,0.00771,0.01563,231930
v6,class,Development,precision,0.00191,0.00061,0.00072,0.00311,0.00089,0.00319,11749
v6,class,Development,recall,0.1795,0.03169,0.11739,0.24162,0.12109,0.245,11749
v6,class,Development,F1,0.00379,,,,0.00176,0.0063,11749
v6,class,Development,IoU,0.0019,0.0006,0.00072,0.00308,0.00088,0.00316,11749
v6,class,Insect/Disease,precision,0.00218,0.00065,0.0009,0.00345,0.00106,0.00356,49560
v6,class,Insect/Disease,recall,0.05216,0.01556,0.02166,0.08265,0.02784,0.09238,49560
v6,class,Insect/Disease,F1,0.00418,,,,0.00207,0.00676,49560
v6,class,Insect/Disease,IoU,0.00209,0.00061,0.00089,0.00329,0.00104,0.00339,49560
v6,class,Beaver,precision,0.00074,0.00021,0.00033,0.00115,0.00038,0.00117,8399
v6,class,Beaver,recall,0.10085,0.00782,0.08552,0.11618,0.08275,0.11589,8399
v6,class,Beaver,F1,0.00147,,,,0.00075,0.00231,8399
v6,class,Beaver,IoU,0.00074,0.00021,0.00033,0.00114,0.00038,0.00116,8399
