variant,bracket,control,class_code,class_name,precision,recall,f1,iou,support,cells_present,low_support,OA,macro_F1,mean_IoU,kappa,n_cells,total_pixels
v2,2019_2021,False,6,ag,0.78709,0.75686,0.77168,0.62824,548578,19,False,0.60521,0.39425,0.30278,0.49395,36,4065059
v2,2019_2021,False,7,grass_shrub,0.29165,0.32775,0.30865,0.18249,393210,32,False,0.60521,0.39425,0.30278,0.49395,36,4065059
v2,2019_2021,False,8,wetland,0.60712,0.42967,0.50321,0.33619,482620,28,False,0.60521,0.39425,0.30278,0.49395,36,4065059
v2,2019_2021,False,9,beaver,0.00067,0.68515,0.00135,0.00067,613,4,True,0.60521,0.39425,0.30278,0.49395,36,4065059
v2,2019_2021,False,10,insect_disease,0.01231,0.00471,0.00682,0.00342,12302,7,False,0.60521,0.39425,0.30278,0.49395,36,4065059
v3,2019_2021,False,1,harvest,0.13749,0.07839,0.09985,0.05255,25156,19,False,0.60243,0.42413,0.29518,0.49223,36,4065059
v3,2019_2021,False,2,development,0.00176,0.07193,0.00344,0.00173,1432,8,False,0.60243,0.42413,0.29518,0.49223,36,4065059
v3,2019_2021,False,3,forest,0.90334,0.59391,0.71665,0.55843,2052436,35,False,0.60243,0.42413,0.29518,0.49223,36,4065059
v3,2019_2021,False,4,urban,0.41621,0.64445,0.50577,0.33848,141566,36,False,0.60243,0.42413,0.29518,0.49223,36,4065059
v3,2019_2021,False,5,water,0.90646,0.95866,0.93183,0.87236,407146,35,False,0.60243,0.42413,0.29518,0.49223,36,4065059
v3,2019_2021,False,6,ag,0.73894,0.80914,0.77245,0.62926,548578,19,False,0.60243,0.42413,0.29518,0.49223,36,4065059
v3,2019_2021,False,7,grass_shrub,0.32888,0.26821,0.29546,0.17334,393210,32,False,0.60243,0.42413,0.29518,0.49223,36,4065059
v3,2019_2021,False,8,wetland,0.61691,0.40732,0.49067,0.32509,482620,28,False,0.60243,0.42413,0.29518,0.49223,36,4065059
v3,2019_2021,False,9,beaver,0.00054,0.66395,0.00108,0.00054,613,4,True,0.60243,0.42413,0.29518,0.49223,36,4065059
v3,2019_2021,False,10,insect_disease,0.0,0.0,,0.0,12302,7,False,0.60243,0.42413,0.29518,0.49223,36,4065059
v4,2019_2021,False,1,harvest,0.05351,0.13917,0.07729,0.0402,25156,19,False,0.28549,0.2025,0.12905,0.17578,36,4065059
v4,2019_2021,False,2,development,0.00062,0.28003,0.00123,0.00062,1432,8,False,0.28549,0.2025,0.12905,0.17578,36,4065059
v4,2019_2021,False,3,forest,0.79005,0.2559,0.38658,0.2396,2052436,35,False,0.28549,0.2025,0.12905,0.17578,36,4065059
v4,2019_2021,False,4,urban,0.03386,0.23973,0.05934,0.03058,141566,36,False,0.28549,0.2025,0.12905,0.17578,36,4065059
v4,2019_2021,False,5,water,0.90182,0.46878,0.61689,0.44602,407146,35,False,0.28549,0.2025,0.12905,0.17578,36,4065059
v4,2019_2021,False,6,ag,0.66232,0.34171,0.45082,0.29101,548578,19,False,0.28549,0.2025,0.12905,0.17578,36,4065059
v4,2019_2021,False,7,grass_shrub,0.17667,0.39664,0.24446,0.13925,393210,32,False,0.28549,0.2025,0.12905,0.17578,36,4065059
v4,2019_2021,False,8,wetland,0.29754,0.13045,0.18137,0.09973,482620,28,False,0.28549,0.2025,0.12905,0.17578,36,4065059
v4,2019_2021,False,9,beaver,0.00257,0.38336,0.0051,0.00256,613,4,True,0.28549,0.2025,0.12905,0.17578,36,4065059
v4,2019_2021,False,10,insect_disease,0.00446,0.00122,0.00191,0.00096,12302,7,False,0.28549,0.2025,0.12905,0.17578,36,4065059
v5,2019_2021,False,1,harvest,0.0314,0.09946,0.04773,0.02445,25156,19,False,0.54604,0.36862,0.28262,0.44028,36,4065059
v5,2019_2021,False,2,development,0.00061,0.0426,0.0012,0.0006,1432,8,False,0.54604,0.36862,0.28262,0.44028,36,4065059
v5,2019_2021,False,3,forest,0.88469,0.47933,0.62178,0.45115,2052436,35,False,0.54604,0.36862,0.28262,0.44028,36,4065059
v5,2019_2021,False,4,urban,0.45419,0.57892,0.50902,0.3414,141566,36,False,0.54604,0.36862,0.28262,0.44028,36,4065059
v5,2019_2021,False,5,water,0.89152,0.95585,0.92256,0.85626,407146,35,False,0.54604,0.36862,0.28262,0.44028,36,4065059
v5,2019_2021,False,6,ag,0.77413,0.77427,0.7742,0.63159,548578,19,False,0.54604,0.36862,0.28262,0.44028,36,4065059
v5,2019_2021,False,7,grass_shrub,0.29916,0.27511,0.28663,0.16729,393210,32,False,0.54604,0.36862,0.28262,0.44028,36,4065059
v5,2019_2021,False,8,wetland,0.57925,0.47423,0.5215,0.35273,482620,28,False,0.54604,0.36862,0.28262,0.44028,36,4065059
v5,2019_2021,False,9,beaver,0.00045,0.62316,0.0009,0.00045,613,4,True,0.54604,0.36862,0.28262,0.44028,36,4065059
v5,2019_2021,False,10,insect_disease,0.0009,0.00049,0.00063,0.00032,12302,7,False,0.54604,0.36862,0.28262,0.44028,36,4065059
v6,2019_2021,False,1,harvest,0.00652,0.13953,0.01247,0.00627,25156,19,False,0.0719,0.06013,0.03258,0.01478,36,4065059
v6,2019_2021,False,2,development,0.00084,0.29749,0.00167,0.00084,1432,8,False,0.0719,0.06013,0.03258,0.01478,36,4065059
v6,2019_2021,False,3,forest,0.60835,0.03202,0.06083,0.03137,2052436,35,False,0.0719,0.06013,0.03258,0.01478,36,4065059
v6,2019_2021,False,4,urban,0.0249,0.04759,0.03269,0.01662,141566,36,False,0.0719,0.06013,0.03258,0.01478,36,4065059
v6,2019_2021,False,5,water,0.1336,0.03714,0.05813,0.02993,407146,35,False,0.0719,0.06013,0.03258,0.01478,36,4065059
v6,2019_2021,False,6,ag,0.31692,0.21839,0.25859,0.14849,548578,19,False,0.0719,0.06013,0.03258,0.01478,36,4065059
v6,2019_2021,False,7,grass_shrub,0.06748,0.09564,0.07913,0.04119,393210,32,False,0.0719,0.06013,0.03258,0.01478,36,4065059
v6,2019_2021,False,8,wetland,0.09822,0.08557,0.09146,0.04792,482620,28,False,0.0719,0.06013,0.03258,0.01478,36,4065059
v6,2019_2021,False,9,beaver,0.00021,0.18108,0.00043,0.00021,613,4,True,0.0719,0.06013,0.03258,0.01478,36,4065059
v6,2019_2021,False,10,insect_disease,0.003,0.15949,0.00589,0.00295,12302,7,False,0.0719,0.06013,0.03258,0.01478,36,4065059
v2,2020_2022,False,1,harvest,0.05898,0.12281,0.07969,0.0415,84209,19,False,0.60109,0.36763,0.28638,0.46225,36,4082979
v2,2020_2022,False,2,development,0.00527,0.3098,0.01037,0.00521,949,11,False,0.60109,0.36763,0.28638,0.46225,36,4082979
v2,2020_2022,False,3,forest,0.87984,0.63275,0.73611,0.58242,2284742,35,False,0.60109,0.36763,0.28638,0.46225,36,4082979
v2,2020_2022,False,4,urban,0.28698,0.56136,0.3798,0.23442,118821,36,False,0.60109,0.36763,0.28638,0.46225,36,4082979
v2,2020_2022,False,5,water,0.9603,0.96796,0.96412,0.93072,401507,29,False,0.60109,0.36763,0.28638,0.46225,36,4082979
v2,2020_2022,False,6,ag,0.78546,0.72093,0.75181,0.60232,451497,18,False,0.60109,0.36763,0.28638,0.46225,36,4082979
v2,2020_2022,False,7,grass_shrub,0.40925,0.21755,0.28408,0.16556,340528,31,False,0.60109,0.36763,0.28638,0.46225,36,4082979
v2,2020_2022,False,8,wetland,0.60799,0.36151,0.45342,0.29318,384623,28,False,0.60109,0.36763,0.28638,0.46225,36,4082979
v2,2020_2022,False,9,beaver,0.00245,0.28562,0.00486,0.00244,1495,6,False,0.60109,0.36763,0.28638,0.46225,36,4082979
v2,2020_2022,False,10,insect_disease,0.00619,0.24309,0.01208,0.00608,14608,5,False,0.60109,0.36763,0.28638,0.46225,36,4082979
v3,2020_2022,False,1,harvest,0.05732,0.1167,0.07688,0.03998,84209,19,False,0.63443,0.38221,0.30074,0.49822,36,4082979
v3,2020_2022,False,2,development,0.00294,0.34457,0.00584,0.00293,949,11,False,0.63443,0.38221,0.30074,0.49822,36,4082979
v3,2020_2022,False,3,forest,0.89481,0.67764,0.77123,0.62764,2284742,35,False,0.63443,0.38221,0.30074,0.49822,36,4082979
v3,2020_2022,False,4,urban,0.38001,0.42889,0.40297,0.25233,118821,36,False,0.63443,0.38221,0.30074,0.49822,36,4082979
v3,2020_2022,False,5,water,0.96498,0.96535,0.96516,0.93267,401507,29,False,0.63443,0.38221,0.30074,0.49822,36,4082979
v3,2020_2022,False,6,ag,0.7873,0.76972,0.77841,0.63721,451497,18,False,0.63443,0.38221,0.30074,0.49822,36,4082979
v3,2020_2022,False,7,grass_shrub,0.37967,0.31841,0.34635,0.20945,340528,31,False,0.63443,0.38221,0.30074,0.49822,36,4082979
v3,2020_2022,False,8,wetland,0.6618,0.34849,0.45656,0.29581,384623,28,False,0.63443,0.38221,0.30074,0.49822,36,4082979
v3,2020_2022,False,9,beaver,0.00186,0.27157,0.00369,0.00185,1495,6,False,0.63443,0.38221,0.30074,0.49822,36,4082979
v3,2020_2022,False,10,insect_disease,0.00778,0.20591,0.015,0.00756,14608,5,False,0.63443,0.38221,0.30074,0.49822,36,4082979
